caseid,birthyr,gender4,race,educ,region,ideo5,religpew,faminc_new,pid3,327a,327b,327d,330a,330b,330c,331a,331b,331d,332a,332b,332c,332d,332e,332f,332g,333a,333b,333c,333d,334a,334b,334c,334d,334e,334f,334g,334h,355a,355e
1249937987,B,A,A,C,D,B,J,E,A,A,A,A,A,B,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,B
1244727923,D,B,A,D,A,A,I,J,A,A,A,A,B,B,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1242475831,B,A,C,F,D,C,B,K,C,B,A,B,B,A,B,A,B,B,B,A,A,A,A,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,B
1245012269,B,A,A,E,D,A,G,I,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A
1236207023,D,B,A,D,B,A,K,E,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1244526205,B,B,A,B,B,D,B,C,C,A,A,B,A,A,B,A,A,B,A,B,A,A,A,B,A,B,B,B,A,A,A,A,B,A,A,A,A,B,B
1232663321,B,B,A,E,D,A,I,D,A,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A
1245162103,B,A,A,F,C,D,A,L,B,B,B,A,A,B,A,B,A,A,B,B,A,A,A,A,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B
1237598511,B,A,A,D,D,E,L,C,C,B,B,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,A,B,A,B,B
1245177145,A,A,A,E,C,B,A,I,A,A,A,A,B,A,B,A,A,B,B,A,B,B,B,B,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A
1240705581,A,B,C,B,C,B,B,E,A,B,B,B,B,A,B,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1242478789,B,A,C,F,C,E,B,M,B,B,B,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B
1234863299,B,B,A,C,A,E,D,H,B,B,A,B,A,B,B,A,A,A,B,A,A,A,A,B,A,B,B,B,A,B,B,A,B,A,B,B,B,B,B
1246578297,C,A,A,E,D,C,B,L,A,A,A,B,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A
1235567217,B,B,A,A,D,B,L,E,C,A,A,B,A,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B
1236688157,C,B,A,B,B,C,L,E,A,A,A,A,B,A,B,A,A,A,A,A,A,B,B,B,B,A,B,A,A,A,A,A,B,A,A,A,A,A,B
1255869345,A,A,A,E,D,D,B,F,B,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,B,B,A,A,B,B,A,B,A,A,B
1242431703,B,A,A,F,C,A,I,I,C,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A
1237858209,A,B,A,D,A,E,B,D,B,B,A,B,A,B,B,B,A,A,B,B,A,B,A,B,B,B,B,B,B,B,A,A,B,A,B,B,B,B,B
1242429083,B,C,A,D,A,A,K,H,C,A,A,A,B,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1249716071,B,B,B,E,C,B,K,I,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1240087623,B,B,A,D,B,E,A,D,B,B,A,B,A,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,B,B,A,A,B,B,B,B,A,B,B
1237032173,D,A,A,C,C,B,I,I,C,A,A,B,A,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,A,B,A,B,A,A,B
1249863351,D,A,D,E,C,A,K,M,C,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,B,A,A,A,B
1237908889,D,C,A,F,A,A,K,H,A,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1238294423,A,B,A,B,B,D,A,C,A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,B,B,A,A
