caseid,birthyr,gender4,educ,pid3,ideo5,faminc_new,religpew,race
1245162103,B,A,F,B,D,L,A,A
1245177145,A,A,E,A,B,I,A,A
1240705581,A,B,B,A,B,E,B,C
1242478789,B,A,F,B,E,M,B,C
1249716071,B,B,E,A,B,I,K,B
1237032173,D,A,C,C,B,I,I,A
1249863351,D,A,E,C,A,M,K,D
1237400307,D,B,C,B,D,G,A,A
1237464259,B,B,B,B,C,C,A,A
1237561619,B,B,D,B,D,D,A,A
1245946359,C,A,E,B,E,I,B,A
1241126287,B,A,B,A,B,D,A,B
1237703171,B,A,B,C,C,E,K,A
1239155767,C,B,B,C,C,B,A,A
1237498721,D,B,D,D,A,B,K,C
1241067633,B,B,C,C,B,C,J,A
1250157911,C,A,D,B,D,F,A,A
1236655675,D,B,D,B,D,K,A,A
1238395021,A,B,B,A,D,C,B,A
1240169421,C,B,D,A,C,A,A,B
1240350755,B,A,C,A,C,D,L,C
1237657397,D,A,E,C,A,H,J,B
1241020639,C,B,D,B,D,E,A,A
1245400015,B,B,C,A,B,B,K,A
1238900081,B,A,B,C,A,M,A,B
1238216385,B,B,F,A,A,I,K,A
1239365431,B,B,B,B,E,D,L,A
1239736413,B,B,F,B,E,K,B,A
1236815145,B,A,B,B,D,J,A,A
1232442083,B,A,F,D,C,K,B,A
1237434895,B,A,B,C,C,E,A,A
1245174043,A,B,F,A,B,H,K,A
1236141841,D,B,B,B,D,A,A,A
1234831387,B,B,F,B,D,J,A,A
1240921211,D,B,F,C,B,L,I,C
1237399907,C,A,B,B,E,I,A,A
1240556239,B,B,E,B,D,I,K,A
1242014595,C,A,B,B,E,H,A,A
1255813355,B,A,F,C,C,J,G,A
1238727093,B,A,B,D,C,F,K,A
1237523121,B,A,B,A,D,E,A,A
1247685607,C,A,B,C,B,B,J,B
1239899627,B,A,C,D,D,F,A,A
1247684153,D,A,E,B,D,M,B,A
1236785301,D,A,E,A,C,L,B,D
1240377817,C,A,F,C,C,J,B,A
1237756843,D,A,D,C,C,L,J,A
1243370103,C,A,B,A,A,C,K,A
1242844317,B,A,F,B,D,J,B,A
1242484613,B,B,C,B,D,E,C,A
1239736857,B,B,C,B,E,C,A,A
1243836819,B,A,E,B,D,B,K,A
1238878425,C,A,B,C,C,A,L,F
1242451741,C,A,E,C,B,A,I,A
1255877109,A,A,F,C,C,M,A,A
1238594717,B,B,B,A,B,C,K,B
