caseid,327a,327b,327d,330a,330b,330c,331a,331b,331d,332a,332b,332c,332d,332e,332f,332g,333a,333b,333c,333d,334a,334b,334c,334d,334e,334f,334g,334h,355a,355e
1245162103,B,B,A,A,B,A,B,A,A,B,B,A,A,A,A,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B
1245177145,A,A,A,B,A,B,A,A,B,B,A,B,B,B,B,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A
1240705581,B,B,B,B,A,B,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1242478789,B,B,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B
1249716071,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1237032173,A,A,B,A,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,A,B,A,B,A,A,B
1249863351,A,A,A,A,A,B,A,A,B,B,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,B,A,A,A,B
1237400307,B,A,A,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,B,A,B,B
1237464259,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,B,A,A,B,A,A,B
1237561619,B,A,A,B,A,B,B,A,A,B,A,A,B,B,B,A,A,A,B,A,A,A,A,B,B,B,B,B,B,B
1245946359,B,A,A,A,B,B,B,A,A,B,A,B,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B,B,B,B
1241126287,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A
1237703171,A,A,A,A,A,A,B,A,A,A,B,B,A,A,B,A,B,B,B,B,B,A,A,B,A,B,B,B,B,B
1239155767,A,A,A,B,A,B,B,A,A,A,A,B,B,B,B,A,A,B,A,A,B,A,A,B,A,B,B,B,A,A
1237498721,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,A,A,A,B,A,A,B,A,A,A,A,A,A,B
1241067633,A,A,B,B,A,B,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
1250157911,B,B,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,A,A,B,B,B
1236655675,B,A,A,A,B,B,A,A,A,B,A,A,A,A,B,B,B,B,B,A,B,A,A,B,A,A,B,A,A,B
1238395021,A,A,A,B,A,B,A,A,A,A,A,B,A,B,B,B,A,A,A,A,B,A,A,B,A,A,B,A,A,B
1240169421,A,A,A,A,A,B,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B
1240350755,A,A,A,B,A,B,A,A,B,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,B,A,A,A
1237657397,A,A,A,A,A,B,B,B,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B
1241020639,A,A,A,A,B,A,A,A,A,B,A,A,A,A,B,A,A,B,B,A,A,A,A,B,A,A,B,A,B,B
1245400015,A,A,B,A,A,B,A,A,A,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A
1238900081,A,A,A,A,A,B,A,A,B,A,B,A,B,B,B,A,A,B,A,A,A,A,B,A,A,A,A,A,A,B
1238216385,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1239365431,A,A,B,B,A,B,B,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B
1239736413,B,A,A,A,A,B,B,A,A,B,B,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1236815145,B,A,B,A,B,A,B,A,A,B,A,A,B,A,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1232442083,B,A,B,B,B,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B
1237434895,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A
1245174043,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1236141841,B,A,A,A,A,B,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,A,B,B,B
1234831387,B,A,A,A,B,B,B,A,A,B,A,A,A,A,B,B,A,A,B,B,B,A,A,B,A,A,B,A,B,B
1240921211,A,A,B,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,B,B,A,B
1237399907,B,A,B,A,B,B,B,A,A,B,B,A,A,A,B,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1240556239,B,A,B,A,B,A,B,A,A,B,A,A,A,A,B,A,B,B,B,B,B,A,A,B,B,A,B,B,B,B
1242014595,B,A,B,A,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1255813355,B,A,A,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,A,A,B,A,A,B,A,A,B,A,B,B
1238727093,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,B
1237523121,A,A,B,A,A,B,A,A,B,A,A,B,B,B,B,A,A,A,B,B,A,A,B,B,A,A,A,B,A,B
1247685607,A,A,A,B,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1239899627,B,A,A,A,B,B,B,A,A,B,B,A,A,A,A,B,B,B,B,A,B,A,A,B,B,A,A,A,B,B
1247684153,B,A,A,B,B,A,B,A,A,B,A,A,A,B,B,B,B,B,B,A,B,A,A,B,B,A,B,B,B,B
1236785301,A,A,A,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,B,A,A,A,B,B,A,A,B,A,A,B
1240377817,B,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,B,A,B,A,B,B,B,B,B
1237756843,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,A,A,A,A,A,A,B,B,A,B,A,A,B
1243370103,A,A,B,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,B,A,B,A,A,A
1242844317,B,B,A,A,B,A,B,A,A,B,B,B,A,A,B,A,B,B,B,B,A,A,A,B,B,A,A,A,B,B
1242484613,A,A,B,A,B,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A,B,A,A,B,A,A,B,A,A,B
1239736857,B,A,A,A,A,A,B,A,A,B,A,A,A,A,B,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B
1243836819,A,A,A,A,B,B,A,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,A,B,A,B,B
1238878425,B,A,B,A,B,A,A,A,A,B,B,A,A,A,A,B,B,B,B,A,A,A,A,B,B,A,B,A,B,B
1242451741,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1255877109,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A
1238594717,A,A,B,A,A,B,A,B,B,A,B,A,B,B,B,B,B,A,B,A,A,A,B,B,A,A,B,A,A,B
1240495173,A,A,A,B,A,B,A,A,B,A,A,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1240431559,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B
1235026755,A,A,A,A,A,B,A,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
1240489041,B,A,B,A,B,B,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,A,B,A,B,B,B,B,B
1240280699,A,A,A,A,B,B,B,A,A,A,B,A,B,B,B,A,A,A,B,A,B,A,A,B,B,A,B,A,B,B
1243805855,B,A,A,A,B,B,B,A,A,B,A,A,A,A,B,B,A,B,B,A,B,A,A,B,B,A,B,A,B,B
1255867599,B,A,A,A,B,A,A,A,A,A,B,B,B,B,B,A,A,A,B,B,B,A,A,B,B,A,B,A,B,A
1244609507,B,A,A,A,B,A,B,A,A,A,B,A,B,A,B,B,B,A,B,B,A,A,A,B,B,A,B,A,B,B
1232901343,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,B,B,A,B,A,A,A,A,B,B,B,B,B,B,B
1239708297,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,A,B,B,B,B,B,A,A,B,B,A,B,A,B,B
1242502419,A,A,A,B,A,B,A,A,B,A,B,B,B,B,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,B
1238734205,A,B,B,A,A,B,A,A,A,A,B,B,B,A,A,B,A,B,B,A,B,A,B,A,A,A,A,A,B,B
