year,caseid,birthyr,gender4,sexuality,race,educ,comptype,votereg,inputstate,region,361,cit1,immstat,urbancity,ideo5,child18,employ,investor,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,marstat,union,unionhh,ownhome,newsint,faminc_new,milstat_1,milstat_2,milstat_3,milstat_4,healthins_1,healthins_2,healthins_3,healthins_4,healthins_5,healthins_6
24,1249937987,2,1,1,1,3,3,1,41,4,6.0,1.0,5,1,2,2,5.0,2.0,2,4,6.0,7,10,1,3,3,1,1,5,2,2,1,2,2,1,2,2,2,2
24,1244727923,4,2,1,1,4,1,2,9,1,6.0,2.0,2,2,1,2,1.0,1.0,2,4,6.0,7,9,1,3,1,2,2,10,2,2,2,2,1,2,2,2,2,2
24,1242475831,2,1,1,3,6,3,1,35,4,6.0,1.0,5,2,3,2,5.0,1.0,2,1,2.0,2,2,1,2,3,1,1,11,2,2,1,1,1,2,2,2,2,2
24,1245012269,2,1,3,1,5,1,2,6,4,5.0,2.0,2,1,1,2,5.0,1.0,2,1,6.0,1,7,5,3,3,2,1,9,2,2,2,2,2,1,2,2,2,2
24,1241022359,2,2,1,1,6,3,1,18,2,6.0,1.0,5,2,2,2,5.0,1.0,2,2,4.0,6,1,1,3,2,1,1,97,2,2,2,1,2,1,2,2,2,2
24,1239356641,3,1,1,1,3,3,1,5,3,6.0,1.0,5,2,4,2,4.0,2.0,2,2,6.0,6,1,5,3,3,1,1,97,2,2,2,1,2,2,2,2,2,1
24,1236207023,4,2,1,1,4,1,1,26,2,4.0,1.0,5,2,1,2,9.0,2.0,2,4,6.0,7,11,5,2,2,2,1,5,2,2,2,2,1,2,2,2,2,2
24,1244526205,2,2,1,1,2,1,2,39,2,6.0,1.0,4,2,4,2,5.0,2.0,2,1,7.0,5,2,4,3,3,1,3,3,2,2,2,2,2,1,2,2,2,2
24,1232663321,2,2,1,1,5,3,1,6,4,6.0,1.0,5,1,1,2,5.0,2.0,2,4,6.0,7,9,3,1,4,1,1,4,2,2,2,1,2,1,2,2,2,2
24,1245162103,2,1,1,1,6,1,1,47,3,6.0,1.0,5,2,4,2,1.0,1.0,1,1,1.0,1,1,1,2,2,1,1,12,2,2,2,1,1,1,2,2,2,2
24,1237598511,2,1,1,1,4,3,1,41,4,6.0,1.0,5,4,5,2,5.0,2.0,1,2,5.0,6,12,3,2,3,1,1,3,2,2,2,1,1,1,2,1,2,2
24,1242526779,2,1,1,7,3,3,1,6,4,6.0,1.0,5,3,6,2,5.0,2.0,2,2,2.0,3,11,1,2,2,1,4,8,2,1,1,1,2,1,2,2,2,2
24,1245177145,1,1,1,1,5,3,1,21,3,6.0,1.0,5,3,2,2,5.0,2.0,2,3,4.0,8,1,1,2,3,1,1,9,2,2,1,1,1,1,2,2,2,2
24,1240705581,1,2,1,3,2,3,1,48,3,6.0,1.0,5,1,2,2,5.0,2.0,2,2,4.0,5,2,1,3,2,1,1,5,2,2,2,2,2,1,2,2,2,2
24,1242478789,2,1,1,3,6,3,1,48,3,6.0,1.0,3,2,5,2,5.0,1.0,2,2,5.0,6,2,1,3,3,1,1,13,2,1,1,1,2,1,2,2,2,2
24,1234863299,2,2,1,1,3,3,1,34,1,6.0,1.0,3,3,5,2,1.0,1.0,2,1,5.0,2,4,5,3,3,1,1,8,2,2,2,1,1,2,2,2,2,2
24,1238079387,3,1,1,2,6,1,1,36,1,6.0,1.0,5,2,1,1,1.0,1.0,2,4,5.0,7,11,3,1,1,1,1,15,2,2,2,2,1,2,2,2,2,2
24,1246578297,3,1,4,1,5,1,1,53,4,6.0,1.0,5,3,3,2,1.0,2.0,2,4,6.0,7,2,1,1,1,1,1,12,2,2,2,1,1,2,2,2,2,2
24,1235567217,2,2,1,1,1,1,1,6,4,6.0,1.0,4,1,2,2,1.0,2.0,1,3,6.0,3,12,6,3,3,3,1,5,2,2,2,2,2,2,2,2,2,1
24,1236688157,3,2,1,1,2,1,1,19,2,6.0,1.0,5,1,3,2,7.0,2.0,2,3,6.0,7,12,2,3,3,2,2,5,2,2,2,2,2,1,2,2,2,2
24,1255869345,1,1,1,1,5,2,1,4,4,6.0,1.0,4,2,4,2,5.0,1.0,2,1,4.0,1,2,1,3,3,1,1,6,2,2,2,1,2,1,2,2,2,2
24,1242431703,2,1,2,1,6,3,1,45,3,6.0,1.0,3,2,1,2,5.0,1.0,2,4,6.0,7,9,1,3,3,1,1,9,2,2,2,2,2,1,2,2,2,2
24,1237858209,1,2,1,1,4,1,1,34,1,6.0,1.0,4,4,5,2,5.0,1.0,2,1,1.0,1,2,1,3,3,1,1,4,2,2,2,1,2,2,2,1,2,2
24,1242787135,2,2,1,2,2,1,1,22,3,6.0,1.0,5,2,6,1,7.0,2.0,2,1,1.0,1,12,3,3,3,2,4,6,2,2,2,2,2,1,2,2,2,2
24,1242429083,2,3,2,1,4,1,1,25,1,6.0,1.0,5,3,1,2,2.0,1.0,2,3,6.0,6,11,1,2,3,1,1,8,2,2,2,2,1,2,2,2,2,2
24,1249716071,2,2,1,2,5,1,1,13,3,6.0,1.0,5,4,2,2,5.0,1.0,2,3,6.0,3,11,3,3,3,1,1,9,2,2,2,2,2,2,2,1,2,2
24,1240087623,2,2,1,1,4,1,1,19,2,4.0,1.0,5,4,5,2,5.0,2.0,1,1,1.0,1,1,1,3,2,1,1,4,2,2,2,1,2,1,2,2,2,2
24,1237032173,4,1,1,1,3,1,1,47,3,6.0,1.0,5,4,2,1,1.0,2.0,2,4,6.0,7,9,1,3,3,1,2,9,2,2,2,2,2,2,2,1,2,2
24,1249863351,4,1,1,4,5,3,1,37,3,4.0,1.0,3,3,1,2,1.0,1.0,2,4,6.0,7,11,6,3,3,1,1,13,2,2,2,2,1,2,2,2,2,2
24,1237908889,4,3,4,1,6,3,1,36,1,5.0,1.0,5,1,1,2,2.0,2.0,2,3,6.0,7,11,1,2,2,1,1,8,2,2,2,1,2,2,2,1,2,2
24,1244694681,3,2,1,1,5,3,1,36,1,6.0,1.0,5,4,3,2,2.0,1.0,2,2,6.0,8,11,4,3,3,1,2,1,2,2,2,2,1,2,2,2,2,2
