community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
9,50,0.996,0.9919999999999999,0.8
15,50,0.982,0.9654693877551023,0.7
37,50,0.98,0.962938775510204,0.8
50,50,0.986,0.9754285714285715,0.9
54,50,0.992,0.9844897959183674,0.8
58,50,0.998,0.9959999999999999,0.9
63,50,0.984,0.9706122448979592,0.8
65,50,0.978,0.9589387755102039,0.6
76,50,0.99,0.980326530612245,0.7
79,50,0.994,0.9881632653061224,0.8
82,50,0.982,0.9698775510204083,0.9
83,50,0.992,0.9843265306122448,0.8
84,50,0.992,0.9841632653061225,0.7
86,50,0.958,0.930857142857143,0.8
87,50,0.996,0.9919999999999999,0.8
88,50,0.996,0.9921632653061225,0.9
99,50,0.998,0.9959999999999999,0.9
104,50,0.998,0.9959999999999999,0.9
105,50,0.984,0.9691428571428572,0.8
106,50,0.99,0.9816326530612245,0.9
119,50,0.972,0.948734693877551,0.8
122,50,0.986,0.9734693877551021,0.8
125,50,1.0,1.0,1.0
141,50,0.99,0.9806530612244898,0.8
8,49,0.9551020408163265,0.9241496598639457,0.7
10,49,1.0,1.0,1.0
16,49,0.9816326530612245,0.9644557823129252,0.8
19,49,0.9979591836734694,0.9959183673469386,0.9
22,49,0.9755102040816327,0.960374149659864,0.8
24,49,0.9897959183673469,0.9799319727891157,0.8
31,49,0.9857142857142858,0.9732993197278911,0.8
33,49,0.9693877551020408,0.9491496598639456,0.8
34,49,0.9755102040816327,0.9539115646258505,0.8
40,49,0.9897959183673469,0.9799319727891157,0.8
41,49,0.9897959183673469,0.9801020408163265,0.8
109,49,0.9959183673469387,0.9918367346938775,0.8
112,49,0.9897959183673469,0.9801870748299321,0.8
118,49,0.9816326530612245,0.9647959183673469,0.7
120,49,0.9816326530612245,0.9642857142857143,0.7
127,49,0.9469387755102041,0.9022108843537415,0.5
132,49,0.9836734693877551,0.9709183673469389,0.8
137,49,0.9857142857142858,0.9726190476190478,0.8
144,49,0.9653061224489796,0.9384353741496598,0.8
4,48,0.9791666666666666,0.9595744680851065,0.8
7,48,0.9625,0.9352836879432624,0.7
13,48,0.9625,0.9314716312056736,0.5
17,48,0.9979166666666667,0.9958333333333333,0.9
23,48,0.99375,0.9876773049645389,0.8
29,48,0.9895833333333334,0.9795212765957447,0.8
44,48,0.9895833333333334,0.9796985815602836,0.8
45,48,0.99375,0.9876773049645389,0.8
57,48,0.98125,0.9646276595744682,0.8
73,48,0.9666666666666667,0.9398936170212768,0.8
110,48,0.98125,0.9637411347517729,0.8
136,48,0.9958333333333333,0.9916666666666666,0.8
114,47,0.9914893617021276,0.9831637372802962,0.8
3,46,0.9782608695652174,0.9582608695652175,0.7
12,46,0.9934782608695653,0.9869565217391305,0.8
21,46,0.9760869565217392,0.9537198067632852,0.6
42,46,1.0,1.0,1.0
56,46,0.9956521739130435,0.991304347826087,0.8
75,46,0.9847826086956522,0.9715942028985508,0.8
102,46,0.9826086956521739,0.9683091787439614,0.8
1,45,0.9688888888888889,0.9409090909090909,0.6
6,45,0.9666666666666667,0.9369696969696971,0.6
