community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
2,50,0.7573333333333333,0.662748299319728,0.2666666666666667
10,50,0.944,0.8974693877551021,0.33333333333333337
16,50,0.9626666666666667,0.9314829931972789,0.6
32,50,0.8186666666666667,0.7385578231292517,0.33333333333333337
40,50,0.8133333333333334,0.7238639455782313,0.33333333333333337
42,50,0.9066666666666666,0.8478367346938774,0.4666666666666667
44,50,0.8266666666666667,0.7502040816326531,0.33333333333333337
49,50,0.908,0.8500680272108845,0.4666666666666667
53,50,0.9453333333333334,0.9002448979591838,0.5333333333333333
55,50,0.8853333333333333,0.8183401360544218,0.5333333333333333
56,50,0.8093333333333333,0.7153197278911565,0.2666666666666667
61,50,0.82,0.7318639455782313,0.1333333333333333
62,50,0.956,0.921904761904762,0.6666666666666667
67,50,0.904,0.8368435374149661,0.4666666666666667
80,50,0.9546666666666667,0.9165170068027213,0.6666666666666667
90,50,0.8013333333333332,0.7066122448979593,0.33333333333333337
97,50,0.8466666666666667,0.7718095238095238,0.33333333333333337
102,50,0.9373333333333334,0.8903401360544219,0.6
103,50,0.952,0.9135782312925169,0.5333333333333333
110,50,0.8226666666666667,0.7377414965986395,0.33333333333333337
118,50,0.9333333333333333,0.882231292517007,0.5333333333333333
130,50,0.9106666666666666,0.8523537414965986,0.4
131,50,0.8626666666666667,0.7972789115646259,0.4666666666666667
135,50,0.82,0.7293605442176871,0.33333333333333337
142,50,0.8240000000000001,0.7424761904761904,0.4666666666666667
148,50,0.8320000000000001,0.7391020408163266,0.33333333333333337
1,49,0.9714285714285714,0.9470521541950113,0.6666666666666667
6,49,0.9374149659863945,0.8882086167800454,0.4
25,49,0.9088435374149659,0.8484126984126984,0.4
30,49,0.817687074829932,0.73140589569161,0.33333333333333337
52,49,0.8244897959183674,0.7430839002267574,0.33333333333333337
70,49,0.7836734693877552,0.6929705215419502,0.33333333333333337
81,49,0.9496598639455782,0.9089569160997732,0.5333333333333333
84,49,0.817687074829932,0.7287414965986394,0.33333333333333337
89,49,0.9469387755102041,0.9051020408163266,0.6
105,49,0.8340136054421768,0.7642857142857142,0.33333333333333337
122,49,0.889795918367347,0.8333333333333334,0.5333333333333333
125,49,0.8680272108843538,0.799546485260771,0.4
11,48,0.7847222222222222,0.6912529550827423,0.2666666666666667
33,48,0.8208333333333333,0.7355200945626478,0.2666666666666667
43,48,0.8333333333333334,0.7418439716312057,0.2666666666666667
50,48,0.9041666666666667,0.8361111111111111,0.4
73,48,0.8652777777777778,0.7987588652482269,0.4
115,48,0.9472222222222222,0.9080378250591018,0.6666666666666667
121,48,0.8722222222222222,0.8062647754137117,0.4666666666666667
128,48,0.826388888888889,0.739775413711584,0.33333333333333337
151,48,0.8486111111111111,0.7643617021276596,0.4
0,47,0.8056737588652483,0.7145852605612087,0.19999999999999996
3,47,0.8070921985815603,0.7182855380820229,0.2666666666666667
4,47,0.9078014184397163,0.8416281221091584,0.4
21,47,0.8226950354609929,0.7365402405180389,0.33333333333333337
37,47,0.8170212765957447,0.7291396854764107,0.2666666666666667
63,47,0.826950354609929,0.7480111008325625,0.33333333333333337
77,47,0.8666666666666667,0.7892075238976257,0.33333333333333337
19,46,0.8391304347826087,0.7545249597423511,0.4
41,46,0.8623188405797102,0.7817069243156202,0.4666666666666667
87,46,0.8623188405797102,0.7933655394524961,0.4
23,45,0.7422222222222221,0.6511784511784513,0.2666666666666667
38,45,0.8488888888888888,0.7792592592592593,0.4666666666666667
99,45,0.8666666666666667,0.7947474747474749,0.4
104,45,0.8577777777777778,0.7847811447811448,0.33333333333333337
106,45,0.8577777777777778,0.7851851851851853,0.4666666666666667
124,45,0.754074074074074,0.654141414141414,0.19999999999999996
9,44,0.8909090909090909,0.8320648343904159,0.4666666666666667
48,44,0.7742424242424242,0.6821000704721635,0.19999999999999996
54,44,0.8106060606060607,0.7063424947145878,0.19999999999999996
96,44,0.7484848484848485,0.6477801268498943,0.2666666666666667
17,43,0.8728682170542637,0.8034699150978222,0.4666666666666667
47,43,0.8356589147286821,0.7616832779623478,0.4
86,43,0.8852713178294573,0.8250276854928018,0.4
146,43,0.9410852713178295,0.8973052787006278,0.6
83,42,0.8603174603174603,0.7870692992644213,0.33333333333333337
126,42,0.7603174603174603,0.6685249709639954,0.2666666666666667
14,41,0.7983739837398374,0.7115447154471545,0.33333333333333337
29,41,0.7479674796747967,0.6725203252032521,0.4
31,41,0.816260162601626,0.7331707317073172,0.33333333333333337
34,41,0.8666666666666667,0.7983739837398375,0.4666666666666667
71,41,0.7642276422764228,0.6734959349593496,0.33333333333333337
74,41,0.7447154471544715,0.6539837398373983,0.2666666666666667
101,41,0.9252032520325203,0.8655284552845529,0.4666666666666667
7,40,0.665,0.5852136752136752,0.19999999999999996
20,40,0.7483333333333333,0.6648717948717949,0.19999999999999996
22,40,0.6816666666666666,0.5786324786324786,0.1333333333333333
57,40,0.8416666666666667,0.7573504273504273,0.4
127,40,0.815,0.741111111111111,0.33333333333333337
