,caseid,topk_ids,topk_sims,neighbor_modes
0,1249937987,"['1242617657', '1236881073', '1240963147', '1241982357', '1239433275', '1234796785', '1235538837', '1235675061', '1236356059', '1243634427', '1243787207', '1237186135', '1236986443', '1242458983']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 1}"
1,1242475831,"['1239353803', '1236870167', '1238940359', '1240846073', '1238729663', '1234893053', '1239626647', '1255850795', '1236717699', '1240324245']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 1}"
2,1244526205,"['1236076897', '1235810073', '1232945643']","[1.0, 1.0, 1.0]","{'327d': 2, '331a': 1, '333a': 2, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
3,1234863299,"['1236811057', '1238977205', '1242967077', '1240432537', '1244870453', '1238257003', '1238341347']","[1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 1, '355e': 2}"
4,1235567217,"['1238135347', '1236811877', '1238394797']","[1.0, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
5,1244694681,['1242549027'],[0.9],"{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 1, '330c': 1, '355e': 2}"
6,1238294423,"['1238129837', '1239712055', '1235676317', '1237471363', '1247685353', '1232539773', '1243892071', '1232779985']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 2, '355e': 2}"
7,1237400307,"['1249979101', '1242524651', '1237024805', '1240495173', '1243059271', '1246304421', '1235765253', '1236923213', '1238033043', '1238123093']","[1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
8,1238391153,"['1247684761', '1242428533', '1237530197', '1237813149', '1239685285', '1235207747', '1250987613', '1232518079', '1237202631', '1242838925', '1238906341', '1246524271', '1251900045']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 1}"
9,1237561619,"['1256030567', '1251567459', '1239224177', '1255813523', '1236622711', '1242933159', '1232659739', '1232901343', '1236755793', '1240241581', '1239356449', '1239281629']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
10,1246439677,"['1238386939', '1235704905', '1242029091', '1235355395', '1239835853', '1237067281', '1237846163', '1238335231']","[1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 2, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
