,caseid,community,match_rate
0,1249937987,0,1.0
1,1242475831,7,1.0
2,1244526205,8,1.0
3,1234863299,12,1.0
4,1235567217,10,0.9
5,1244694681,3,0.9
6,1238294423,5,1.0
7,1237400307,8,0.9
8,1238391153,8,1.0
9,1237561619,4,1.0
10,1246439677,11,1.0
11,1239155767,2,1.0
12,1241067633,6,1.0
13,1236655675,11,0.9
14,1241020639,10,1.0
15,1241524999,9,1.0
16,1236632893,6,1.0
17,1236208691,3,1.0
18,1239736413,0,0.8
19,1236815145,4,1.0
20,1237439219,12,1.0
21,1236141841,1,0.9
22,1236779385,2,1.0
23,1243909695,7,1.0
24,1235705031,14,1.0
25,1237399907,6,1.0
26,1255813355,3,1.0
27,1240404095,3,1.0
28,1238977205,12,0.9
29,1236680891,13,1.0
30,1240428741,3,1.0
31,1240765531,10,0.9
32,1238853943,9,1.0
33,1240738573,14,1.0
34,1237858373,11,1.0
35,1235020261,2,1.0
36,1247684153,10,
37,1240377817,11,1.0
38,1239481679,11,1.0
39,1236988715,12,1.0
40,1234964407,9,1.0
41,1237531087,6,1.0
42,1238594717,7,1.0
43,1240495173,8,1.0
44,1242967077,12,0.9
45,1242883471,9,1.0
46,1236646015,6,1.0
47,1259387173,10,1.0
48,1242548791,2,1.0
49,1232659739,4,1.0
50,1240489041,13,1.0
51,1246469937,1,0.9
52,1255867599,11,1.0
53,1244609507,1,0.9
54,1255813041,10,1.0
55,1240432537,12,0.9
56,1232901343,4,1.0
57,1239708297,2,0.9
58,1245365807,10,1.0
59,1240619599,11,0.9
60,1232523251,1,1.0
61,1238734205,6,0.9
62,1240738351,7,1.0
63,1238897483,11,1.0
64,1246402981,12,1.0
65,1242821929,2,1.0
66,1238028345,3,1.0
67,1242860853,14,1.0
68,1242387381,4,1.0
69,1235540329,12,0.9
70,1242431895,2,1.0
71,1245255621,4,1.0
72,1237955145,0,0.9
73,1240610621,10,0.9
74,1244870453,12,0.9
75,1241283971,2,1.0
76,1240404173,12,
77,1236885887,12,1.0
78,1234802201,14,1.0
79,1238943343,11,1.0
80,1240351381,0,0.9
81,1239353803,7,1.0
82,1239677113,4,0.9
83,1244729431,10,1.0
84,1237180573,13,1.0
85,1232890971,2,1.0
86,1243059271,8,1.0
87,1242640179,0,0.9
88,1242984649,6,1.0
89,1248444041,6,1.0
90,1242391121,7,1.0
91,1240459041,9,1.0
92,1242310871,1,1.0
93,1232539015,0,0.9
94,1247684761,8,1.0
95,1235490395,1,1.0
96,1236663639,14,1.0
97,1238198067,10,0.9
98,1242526067,1,1.0
99,1243429429,12,1.0
100,1242596405,7,1.0
101,1255832591,12,
102,1246304421,8,1.0
103,1241313173,1,0.9
104,1248582539,12,1.0
105,1239074743,2,1.0
106,1256030567,4,1.0
107,1235765253,8,1.0
108,1237523237,5,1.0
109,1243711437,12,1.0
110,1240730261,8,0.9
111,1238257003,12,1.0
112,1245221159,12,1.0
