community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
1,200,0.767,0.6642060301507537,0.0
4,200,0.733,0.6240201005025126,0.050000000000000044
6,200,0.6995,0.6195577889447236,0.09999999999999998
8,200,0.77,0.6625879396984925,0.050000000000000044
11,200,0.8795,0.8058693467336683,0.19999999999999996
13,200,0.73,0.6271155778894473,0.050000000000000044
54,200,0.85675,0.7799145728643216,0.15000000000000002
29,196,0.8885204081632653,0.8201517530088958,0.25
56,191,0.7554973821989529,0.6507743179939377,0.050000000000000044
58,191,0.793455497382199,0.6989776798015983,0.0
2,173,0.7901734104046243,0.7031523054173947,0.15000000000000002
28,166,0.7487951807228916,0.6444797371303395,0.15000000000000002
25,162,0.9299382716049382,0.8729736983360171,0.19999999999999996
3,159,0.8223270440251572,0.7454900087572646,0.19999999999999996
14,159,0.770125786163522,0.668828118780352,0.050000000000000044
50,148,0.8804054054054054,0.8054605626034197,0.35
16,146,0.8565068493150685,0.7818469532357107,0.30000000000000004
46,142,0.7827464788732394,0.6873589052042752,0.15000000000000002
15,138,0.6496376811594202,0.5764254733946895,0.09999999999999998
20,132,0.8401515151515151,0.7507749248207263,0.050000000000000044
26,129,0.6631782945736435,0.5767986918604653,0.050000000000000044
5,120,0.6679166666666666,0.581827731092437,0.09999999999999998
27,118,0.9050847457627118,0.8384905113718673,0.4
0,114,0.7578947368421053,0.6450240645862443,0.15000000000000002
7,109,0.794954128440367,0.7204468229697586,0.15000000000000002
19,107,0.8046728971962617,0.7291306647857521,0.30000000000000004
17,101,0.8495049504950495,0.770930693069307,0.25
24,99,0.796969696969697,0.6988455988455988,0.25
21,92,0.6701086956521739,0.578440038222647,0.09999999999999998
30,87,0.8258620689655173,0.7290831328521785,0.15000000000000002
55,87,0.6850574712643679,0.592395081529003,0.19999999999999996
22,86,0.825,0.7426128590971273,0.25
35,80,0.785625,0.6859651898734177,0.19999999999999996
23,79,0.6373417721518988,0.5603700097370984,0.09999999999999998
51,79,0.7588607594936709,0.652190847127556,0.050000000000000044
32,75,0.8246666666666667,0.7442522522522523,0.19999999999999996
12,74,0.8128378378378378,0.7260088855979266,0.25
52,72,0.8277777777777777,0.7424882629107982,0.35
33,69,0.7471014492753623,0.6340579710144928,0.15000000000000002
18,66,0.731060606060606,0.6375524475524477,0.15000000000000002
34,65,0.9184615384615384,0.856923076923077,0.44999999999999996
43,65,0.9030769230769231,0.8332692307692308,0.19999999999999996
48,64,0.8328125,0.7384176587301587,0.19999999999999996
49,64,0.85546875,0.7751488095238097,0.35
39,63,0.834126984126984,0.7462877624167946,0.25
57,53,0.8358490566037736,0.7454281567489117,0.30000000000000004
10,52,0.6701923076923078,0.5833710407239818,0.19999999999999996
53,51,0.7225490196078431,0.6067450980392157,0.15000000000000002
44,45,0.8266666666666667,0.7283838383838382,0.19999999999999996
40,44,0.6670454545454545,0.5804968287526426,0.050000000000000044
42,40,0.73375,0.6419871794871795,0.19999999999999996
41,38,0.8447368421052631,0.75049786628734,0.19999999999999996
45,38,0.6828947368421052,0.587624466571835,0.09999999999999998
47,36,0.7513888888888889,0.638968253968254,0.19999999999999996
9,32,0.7359375,0.6212701612903225,0.15000000000000002
38,31,0.732258064516129,0.6320430107526881,0.25
37,23,0.6891304347826087,0.5810276679841897,0.19999999999999996
36,15,0.6799999999999999,0.5800000000000001,0.35
31,10,0.705,0.5944444444444443,0.4
