community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
1,200,0.8362857142857143,0.7462799712849965,0.4571428571428572
3,200,0.8468571428571429,0.7637401292175162,0.5142857142857142
5,200,0.8442857142857143,0.7601320890165112,0.5142857142857142
6,200,0.8802857142857143,0.8020258435032305,0.5428571428571429
7,200,0.8368571428571429,0.752248384781048,0.48571428571428577
8,200,0.8647142857142858,0.7844020100502513,0.5142857142857142
9,200,0.8425714285714285,0.7558592964824121,0.5142857142857142
10,200,0.8624285714285714,0.7844982053122757,0.48571428571428577
11,200,0.8444285714285714,0.7594558506819814,0.48571428571428577
13,200,0.863,0.7777717157214645,0.5428571428571429
25,200,0.845,0.7540172290021536,0.5142857142857142
27,198,0.8606060606060606,0.7771317233246167,0.5142857142857142
4,186,0.8192012288786482,0.7249570307634824,0.4571428571428572
40,153,0.8522875816993464,0.7681679689419629,0.5428571428571429
30,143,0.856943056943057,0.7769863938878024,0.5142857142857142
14,142,0.837625754527163,0.7520527419838178,0.5142857142857142
24,142,0.8515090543259558,0.7702727000299671,0.5142857142857142
0,136,0.8258403361344537,0.7365266106442577,0.4571428571428572
22,134,0.8605543710021322,0.7789666062811615,0.5142857142857142
19,125,0.8569142857142857,0.7832516129032259,0.5714285714285714
26,119,0.8381752701080432,0.7496490121472317,0.5142857142857142
15,116,0.8204433497536946,0.7355964874705503,0.48571428571428577
17,116,0.855665024630542,0.7813364746198329,0.5428571428571429
51,114,0.8654135338345865,0.7923215117439617,0.5428571428571429
35,111,0.8507078507078507,0.7635427635427635,0.48571428571428577
50,109,0.854259501965924,0.7785690015047816,0.48571428571428577
36,107,0.8413885180240321,0.7533617149910573,0.4571428571428572
49,99,0.8476190476190476,0.7592425714874694,0.5142857142857142
47,95,0.8303759398496241,0.7404447288433851,0.5428571428571429
12,94,0.8209726443768998,0.7348759682321796,0.48571428571428577
29,93,0.8196620583717359,0.7229880451479329,0.4571428571428572
48,90,0.8552380952380952,0.7723559835919386,0.5142857142857142
16,86,0.8282392026578074,0.7455305843267539,0.48571428571428577
38,76,0.8454887218045113,0.7654335839598998,0.5428571428571429
43,72,0.8436507936507937,0.7541582830315224,0.5142857142857142
33,71,0.8551307847082495,0.7780741592411612,0.5142857142857142
57,70,0.833469387755102,0.7375687666370896,0.5142857142857142
28,68,0.8239495798319328,0.7403110497930516,0.5428571428571429
46,68,0.8533613445378152,0.7720055186253606,0.6
39,62,0.8599078341013825,0.7768074337085443,0.5714285714285714
32,61,0.8384074941451991,0.7500702576112412,0.6
44,60,0.8571428571428572,0.7765456012913641,0.5714285714285714
52,60,0.8285714285714286,0.736723163841808,0.5142857142857142
20,58,0.829064039408867,0.7340247169648259,0.5428571428571429
54,58,0.8413793103448276,0.7520179759744189,0.5428571428571429
55,55,0.8296103896103897,0.7361616161616162,0.5142857142857142
37,54,0.8433862433862434,0.7606668663272437,0.5428571428571429
2,45,0.8031746031746032,0.71018759018759,0.5428571428571429
42,45,0.8406349206349206,0.7492640692640692,0.5714285714285714
53,40,0.8371428571428572,0.752014652014652,0.5428571428571429
23,38,0.818796992481203,0.7238366185734607,0.5714285714285714
45,37,0.8308880308880309,0.737022737022737,0.5714285714285714
31,34,0.8142857142857143,0.7152024446142093,0.5428571428571429
21,27,0.8031746031746032,0.702971102971103,0.5142857142857142
41,25,0.8205714285714285,0.7317142857142858,0.6
18,24,0.8178571428571428,0.7313664596273293,0.5428571428571429
58,23,0.8024844720496894,0.7054771315640881,0.5428571428571429
56,22,0.7805194805194805,0.6764378478664193,0.48571428571428577
34,14,0.8367346938775511,0.7390894819466249,0.5714285714285714
