community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
11,100,0.8625,0.7818282828282828,0.19999999999999996
13,100,0.7765,0.6802525252525252,0.09999999999999998
14,100,0.779,0.6842222222222223,0.19999999999999996
16,100,0.8605,0.7895252525252525,0.35
25,100,0.9315,0.8752828282828282,0.19999999999999996
46,100,0.7995000000000001,0.7038888888888889,0.25
50,100,0.8734999999999999,0.7983333333333333,0.4
54,100,0.853,0.7748686868686869,0.19999999999999996
56,100,0.7484999999999999,0.6432828282828282,0.09999999999999998
59,100,0.69,0.5902424242424242,0.050000000000000044
68,100,0.775,0.6754343434343435,0.09999999999999998
86,100,0.8815,0.8124747474747475,0.30000000000000004
91,100,0.7755,0.6753838383838383,0.19999999999999996
2,99,0.8191919191919192,0.735271078128221,0.19999999999999996
4,99,0.7555555555555555,0.6433931148216864,0.050000000000000044
8,99,0.7606060606060606,0.6467120181405897,0.15000000000000002
29,99,0.895959595959596,0.8301071943929086,0.30000000000000004
17,98,0.835204081632653,0.7571954555017884,0.25
26,98,0.6770408163265307,0.5777298548285295,0.09999999999999998
53,98,0.7658163265306123,0.6626867241742057,0.050000000000000044
1,96,0.7708333333333334,0.6633114035087719,0.09999999999999998
7,96,0.7671875,0.689046052631579,0.15000000000000002
87,94,0.7553191489361702,0.647746511095859,0.15000000000000002
58,93,0.7827956989247312,0.6843852267414681,0.050000000000000044
3,90,0.795,0.710649188514357,0.15000000000000002
20,90,0.8433333333333333,0.7533832709113608,0.25
28,88,0.7232954545454545,0.625705329153605,0.19999999999999996
15,87,0.664367816091954,0.5746859128575247,0.050000000000000044
82,86,0.783139534883721,0.6762380300957592,0.15000000000000002
83,85,0.72,0.6256022408963584,0.15000000000000002
44,84,0.8946428571428571,0.8200659781985083,0.30000000000000004
6,79,0.7221518987341771,0.6456994482310938,0.19999999999999996
43,79,0.9044303797468355,0.8365790327815644,0.19999999999999996
90,79,0.8455696202531645,0.7720869847452126,0.25
55,73,0.6883561643835616,0.592275494672755,0.19999999999999996
21,72,0.6715277777777777,0.5841353677621284,0.09999999999999998
19,71,0.7528169014084507,0.6619315895372234,0.25
23,70,0.6235714285714286,0.5488405797101449,0.09999999999999998
52,70,0.8714285714285714,0.7929606625258799,0.35
47,69,0.786231884057971,0.686999147485081,0.25
93,68,0.7838235294117647,0.682396839332748,0.050000000000000044
35,67,0.7850746268656716,0.6827227498869289,0.15000000000000002
24,64,0.78046875,0.6832093253968253,0.30000000000000004
51,64,0.78515625,0.6843998015873016,0.050000000000000044
57,64,0.85078125,0.7639136904761906,0.25
80,64,0.85859375,0.7779017857142857,0.19999999999999996
64,62,0.728225806451613,0.6258857747223691,0.09999999999999998
77,62,0.7846774193548387,0.6962718138551032,0.25
22,59,0.8389830508474576,0.7641729982466394,0.19999999999999996
62,59,0.9194915254237288,0.8647866744593805,0.44999999999999996
32,57,0.8473684210526315,0.7765350877192981,0.35
71,56,0.8571428571428572,0.7912987012987013,0.44999999999999996
33,55,0.7290909090909091,0.623973063973064,0.15000000000000002
66,55,0.9172727272727272,0.8524579124579125,0.35
81,55,0.6745454545454546,0.5748148148148148,0.09999999999999998
5,54,0.6703703703703703,0.5900069881201956,0.19999999999999996
30,54,0.8722222222222222,0.7884696016771489,0.35
39,54,0.8425925925925926,0.7598881900768694,0.25
74,54,0.8305555555555555,0.7437106918238994,0.19999999999999996
9,53,0.7311320754716981,0.6247097242380262,0.19999999999999996
48,53,0.8481132075471698,0.7548258345428157,0.30000000000000004
85,53,0.8990566037735849,0.8425979680696661,0.5
0,50,0.7350000000000001,0.6223265306122449,0.09999999999999998
61,50,0.7310000000000001,0.6350204081632653,0.25
67,50,0.681,0.5906530612244898,0.25
94,50,0.9279999999999999,0.8716734693877553,0.4
70,49,0.8357142857142856,0.7563775510204082,0.25
72,49,0.7408163265306122,0.6335884353741497,0.19999999999999996
31,48,0.6979166666666667,0.5890070921985816,0.050000000000000044
10,47,0.6914893617021276,0.5917668825161888,0.19999999999999996
18,47,0.7063829787234044,0.6160962072155411,0.15000000000000002
88,47,0.9085106382978724,0.8427382053654024,0.44999999999999996
34,44,0.8625,0.7770084566596194,0.19999999999999996
12,43,0.8267441860465117,0.736655592469546,0.25
60,41,0.85,0.7796341463414636,0.4
49,39,0.8641025641025641,0.786369770580297,0.4
73,38,0.7131578947368421,0.6196301564722617,0.19999999999999996
89,36,0.7347222222222223,0.6218253968253968,0.15000000000000002
27,34,0.8647058823529412,0.7764705882352941,0.4
40,34,0.6779411764705883,0.5803030303030302,0.09999999999999998
36,32,0.6578125,0.5787298387096774,0.19999999999999996
37,30,0.7716666666666666,0.6748275862068965,0.15000000000000002
38,30,0.74,0.6441379310344829,0.30000000000000004
41,30,0.8616666666666667,0.7794252873563218,0.35
42,30,0.7366666666666667,0.6314942528735633,0.19999999999999996
45,30,0.7233333333333334,0.6154022988505747,0.09999999999999998
63,30,0.6883333333333334,0.5854022988505747,0.19999999999999996
65,30,0.73,0.6282758620689656,0.25
69,30,0.8716666666666667,0.7980459770114942,0.5
75,30,0.7733333333333333,0.6795402298850576,0.19999999999999996
76,30,0.6900000000000001,0.5935632183908046,0.09999999999999998
78,30,0.765,0.674367816091954,0.25
79,30,0.685,0.5831034482758621,0.19999999999999996
84,30,0.7116666666666667,0.6104597701149425,0.15000000000000002
92,30,0.8766666666666667,0.8016091954022988,0.44999999999999996
