,caseid,community,match_rate
0,1244526205,0,1.0
1,1242526779,7,1.0
2,1234863299,0,0.9
3,1235567217,7,1.0
4,1249716071,8,1.0
5,1244694681,4,1.0
6,1238294423,13,
7,1237400307,5,0.9
8,1237464259,1,1.0
9,1238391153,12,1.0
10,1237561619,3,1.0
11,1239155767,12,1.0
12,1243711257,6,1.0
13,1236655675,1,1.0
14,1240350755,4,1.0
15,1238514437,7,1.0
16,1241020639,4,1.0
17,1244450575,8,1.0
18,1241524999,8,1.0
19,1236890733,13,1.0
20,1242767643,10,1.0
21,1239365431,9,0.9
22,1239650851,13,0.9
23,1234894013,6,1.0
24,1236779385,3,1.0
25,1234831387,6,1.0
26,1243765823,13,1.0
27,1240921211,11,1.0
28,1242966839,5,1.0
29,1255813355,7,1.0
30,1236680891,6,1.0
31,1240428741,5,1.0
32,1244379387,12,1.0
33,1237523121,11,0.9
34,1238853943,10,1.0
35,1235020261,4,0.9
36,1256152997,10,1.0
37,1240377817,9,1.0
38,1232260693,11,1.0
39,1242484613,10,1.0
40,1243836819,0,1.0
41,1234964407,8,1.0
42,1237242627,6,0.9
43,1238398129,10,0.9
44,1238594717,9,1.0
45,1232659739,1,1.0
46,1240489041,14,
47,1246469937,6,1.0
48,1240280699,4,1.0
49,1243805855,6,1.0
50,1255867599,4,1.0
51,1255813041,9,1.0
52,1245365807,11,1.0
53,1240619599,2,0.9
54,1237706473,4,0.9
55,1238734205,9,1.0
56,1240738351,14,
57,1242475779,4,1.0
58,1246402981,11,1.0
59,1236715881,0,1.0
60,1242821929,8,0.9
61,1238028345,0,1.0
62,1242860853,9,
63,1242387381,14,1.0
64,1235540329,13,1.0
65,1242431895,6,1.0
66,1245255621,13,1.0
67,1237955145,0,1.0
68,1244870453,8,1.0
69,1241283971,9,1.0
70,1240404173,12,1.0
71,1238943343,9,0.9
72,1240351381,12,1.0
73,1237180573,11,1.0
74,1239706099,1,1.0
75,1232890971,9,1.0
76,1237620629,13,1.0
77,1238972075,8,1.0
78,1242640179,8,1.0
79,1248444041,10,1.0
80,1242391121,0,1.0
81,1235626345,12,1.0
82,1242310871,7,1.0
83,1237524905,12,1.0
84,1232539015,5,1.0
85,1247684761,9,1.0
86,1238877343,11,
87,1236663639,4,1.0
88,1239076509,10,1.0
89,1239926521,4,1.0
90,1245162397,12,1.0
91,1242596405,4,0.9
92,1238767513,6,1.0
93,1246304421,7,1.0
94,1241313173,6,0.9
95,1248582539,12,1.0
96,1239074743,6,1.0
97,1238944301,1,1.0
98,1256030567,3,1.0
99,1239549909,1,1.0
100,1238875887,12,1.0
101,1235765253,7,0.9
102,1240730261,8,0.9
103,1238257003,5,1.0
104,1238914491,12,1.0
105,1237246663,6,1.0
106,1243712361,3,1.0
107,1236899427,8,1.0
108,1237562377,12,1.0
109,1235432175,1,0.9
110,1239074583,6,0.9
111,1239736217,10,1.0
