community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
0,200,0.9565,0.9214321608040202,0.5
3,200,0.9765,0.955894472361809,0.7
4,200,0.9795,0.9613015075376885,0.7
5,200,0.9605,0.9327889447236181,0.5
7,200,0.97,0.9465678391959801,0.7
8,200,0.945,0.910597989949749,0.5
11,200,0.872,0.7838844221105528,0.4
12,200,0.963,0.9362160804020101,0.5
13,200,0.9895,0.979386934673367,0.7
15,200,0.982,0.9650954773869348,0.5
16,200,0.9825,0.9668592964824121,0.7
19,200,0.9895,0.9795829145728644,0.7
22,200,0.9895,0.9797738693467337,0.7
26,200,0.9865,0.974140703517588,0.6
31,200,0.987,0.9749648241206031,0.8
57,200,0.9635,0.9374321608040201,0.6
9,181,0.9027624309392265,0.8409146715776551,0.5
6,179,0.9497206703910615,0.9083045634297913,0.4
24,176,0.9630681818181818,0.9381753246753247,0.7
2,173,0.892485549132948,0.8176098938029306,0.5
29,147,0.9047619047619048,0.8404808498741964,0.4
58,131,0.9885496183206107,0.9779917792131533,0.7
10,122,0.9172131147540984,0.8638802330307548,0.5
1,121,0.915702479338843,0.8515702479338844,0.4
55,109,0.9467889908256881,0.9049609242269794,0.5
53,108,0.9333333333333333,0.8910176531671861,0.6
25,102,0.9362745098039216,0.8880411570568822,0.6
49,91,0.9153846153846154,0.8691086691086694,0.6
37,90,0.9411111111111111,0.8949313358302124,0.6
50,86,0.9441860465116279,0.9077975376196992,0.6
28,72,0.9,0.8304381846635369,0.5
27,65,0.9323076923076923,0.8786538461538462,0.6
41,61,0.940983606557377,0.9036065573770492,0.7
56,61,0.9377049180327869,0.8968852459016395,0.7
17,57,0.9350877192982456,0.9082706766917295,0.6
36,53,0.9641509433962264,0.9354136429608128,0.6
43,52,0.9,0.8300150829562595,0.6
48,52,0.8692307692307693,0.8141025641025641,0.5
39,51,0.915686274509804,0.8732549019607844,0.7
23,49,0.8857142857142857,0.8066326530612246,0.5
54,49,0.9428571428571428,0.8962585034013606,0.5
42,47,0.9531914893617022,0.9217391304347827,0.6
34,42,0.95,0.9198606271777006,0.7
52,42,0.9928571428571429,0.9864111498257839,0.9
30,37,0.854054054054054,0.7773273273273273,0.5
44,37,0.8918918918918919,0.8210210210210209,0.6
47,36,0.9388888888888889,0.8980952380952382,0.8
33,30,0.9933333333333333,0.9871264367816092,0.9
45,29,0.9068965517241379,0.8482758620689655,0.6
14,28,0.85,0.7703703703703704,0.5
20,28,0.8464285714285714,0.7661375661375662,0.5
21,28,0.8392857142857143,0.7367724867724867,0.4
32,28,0.875,0.8166666666666668,0.5
18,25,0.88,0.794,0.6
40,25,0.968,0.9406666666666667,0.8
35,21,0.9571428571428572,0.9238095238095239,0.6
38,20,0.855,0.7478947368421053,0.5
46,19,0.8947368421052632,0.833918128654971,0.6
51,15,0.86,0.780952380952381,0.5
