community,size,avg_to_centroid_sim,mean_pair_sim,min_pair_sim
0,200,0.8013333333333333,0.7106934673366835,0.19999999999999996
6,200,0.9196666666666666,0.8632261306532666,0.4
7,200,0.81,0.7363082077051927,0.19999999999999996
11,200,0.7916666666666666,0.7065762144053601,0.1333333333333333
16,200,0.8203333333333334,0.7336046901172529,0.2666666666666667
19,200,0.916,0.8620167504187606,0.33333333333333337
22,200,0.9256666666666666,0.8771356783919599,0.4
25,200,0.777,0.6917889447236182,0.06666666666666665
26,200,0.8026666666666666,0.7166901172529314,0.19999999999999996
27,200,0.8563333333333334,0.792070351758794,0.19999999999999996
31,200,0.9436666666666667,0.904170854271357,0.5333333333333333
46,200,0.8483333333333334,0.7817989949748744,0.19999999999999996
1,199,0.8629815745393635,0.7933235199566859,0.33333333333333337
5,199,0.8093802345058627,0.7274723787286603,0.1333333333333333
15,198,0.803030303030303,0.700295681006341,0.06666666666666665
4,190,0.7887719298245615,0.7075577833472569,0.2666666666666667
40,184,0.8829710144927536,0.8197552862912808,0.33333333333333337
13,172,0.725968992248062,0.6362799764268553,0.1333333333333333
3,169,0.7203155818540434,0.6315300084530854,0.1333333333333333
39,160,0.84125,0.7651100628930817,0.2666666666666667
9,156,0.8,0.7072732285635512,0.19999999999999996
20,155,0.741505376344086,0.664711632453568,0.1333333333333333
18,153,0.8871459694989107,0.8170737300768262,0.1333333333333333
2,138,0.7628019323671498,0.6834937762262421,0.19999999999999996
12,136,0.7254901960784313,0.6315976761074801,0.19999999999999996
54,134,0.8631840796019901,0.8037257322410505,0.19999999999999996
36,88,0.8287878787878789,0.7509926854754442,0.33333333333333337
29,80,0.76,0.6660337552742616,0.19999999999999996
24,79,0.8135021097046413,0.7178405279671104,0.19999999999999996
45,77,0.8008658008658008,0.7207792207792207,0.2666666666666667
34,76,0.774561403508772,0.667906432748538,0.19999999999999996
10,61,0.7136612021857924,0.6208378870673952,0.1333333333333333
17,59,0.6915254237288135,0.6066238067406975,0.1333333333333333
38,56,0.7357142857142858,0.641038961038961,0.19999999999999996
41,55,0.7333333333333334,0.6523456790123456,0.2666666666666667
28,54,0.8148148148148149,0.7177731190309806,0.2666666666666667
52,53,0.7333333333333333,0.6303821964199323,0.19999999999999996
55,53,0.6641509433962265,0.5810353168843735,0.1333333333333333
8,52,0.6884615384615385,0.6019607843137256,0.06666666666666665
42,44,0.7954545454545455,0.6945031712473573,0.2666666666666667
21,43,0.6945736434108527,0.5979328165374677,0.06666666666666665
23,42,0.7428571428571429,0.6520325203252033,0.2666666666666667
30,42,0.7682539682539683,0.6775842044134728,0.19999999999999996
49,40,0.7,0.6194871794871795,0.19999999999999996
14,39,0.7589743589743589,0.6795321637426902,0.19999999999999996
50,38,0.7105263157894738,0.6080606922712185,0.19999999999999996
37,37,0.8504504504504504,0.7711711711711712,0.2666666666666667
56,36,0.675925925925926,0.5855026455026455,0.19999999999999996
33,34,0.8431372549019608,0.7397504456327986,0.33333333333333337
51,34,0.776470588235294,0.6698752228163993,0.06666666666666665
47,33,0.7717171717171717,0.6881313131313131,0.19999999999999996
43,27,0.7432098765432098,0.6269705603038936,0.2666666666666667
32,26,0.717948717948718,0.6192820512820513,0.2666666666666667
57,21,0.6603174603174603,0.56,0.2666666666666667
35,13,0.717948717948718,0.6085470085470086,0.33333333333333337
44,10,0.7066666666666667,0.6029629629629629,0.33333333333333337
48,10,0.7533333333333333,0.6162962962962963,0.19999999999999996
53,10,0.7466666666666666,0.6266666666666666,0.2666666666666667
58,10,0.6533333333333333,0.52,0.19999999999999996
