,caseid,topk_ids,topk_sims,neighbor_modes
0,1244526205,"['1237401941', '1245254631', '1235370519', '1234643055', '1242500921', '1238736911', '1243985319', '1240702723', '1235027973', '1242821465', '1237561335', '1232925043', '1238165557', '1242391121']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
1,1242526779,"['1238514437', '1238243821', '1238560409', '1237024805', '1237397519', '1237068167', '1231467131', '1242476031', '1238135347', '1239001863']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
2,1234863299,"['1242391121', '1243729473', '1255888935', '1239833787', '1239318937', '1255907577']","[0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 2, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
3,1235567217,"['1242476031', '1238135347', '1237696291', '1243583467', '1236491179', '1236352587', '1241830007', '1238682319', '1237656859', '1235355395', '1237858653']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 2}"
4,1249716071,"['1238965295', '1240437037', '1237067281', '1237846163', '1240275951', '1238386939', '1247688027', '1241811145', '1242949001', '1238565149', '1240730261']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 2, '332g': 2, '334b': 1, '334h': 1, '333c': 1, '330c': 1, '355e': 2}"
5,1244694681,"['1242502795', '1241070225', '1236663639', '1245220411']","[1.0, 1.0, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 2, '332g': 1, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 1}"
6,1238294423,[],[],"{'327d': None, '331a': None, '333a': None, '334c': None, '332g': None, '334b': None, '334h': None, '333c': None, '330c': None, '355e': None}"
7,1237400307,"['1234926211', '1238257003', '1236811057', '1237600429']","[1.0, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
8,1237464259,"['1236655675', '1232659739', '1255849291', '1255849401', '1238287505', '1246416659', '1245394849', '1236920355', '1249939543', '1246699243', '1234687571', '1245153803', '1240459383', '1242165477', '1238089375', '1236812269', '1247032419', '1237286569', '1235432175']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9]","{'327d': 1, '331a': 1, '333a': 2, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 2}"
9,1238391153,"['1232654147', '1243412135', '1238396373', '1242163821', '1252049771', '1237338849', '1232901323', '1235371729', '1238289187', '1237562377', '1236987373']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9]","{'327d': 2, '331a': 1, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 2, '355e': 1}"
10,1237561619,"['1255989417', '1240497017', '1256030567', '1232691967', '1232590787', '1242525085', '1232359031', '1242579787', '1238915281', '1250388311', '1239038609']","[1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 2, '330c': 2, '355e': 2}"
11,1239155767,"['1238213287', '1236869665']","[1.0, 1.0]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 1, '334b': 1, '334h': 2, '333c': 1, '330c': 2, '355e': 1}"
12,1243711257,"['1239074743', '1237246663', '1255820567', '1237372171', '1236777429', '1240375131', '1241181521', '1237334025']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","{'327d': 1, '331a': 2, '333a': 1, '334c': 1, '332g': 2, '334b': 1, '334h': 1, '333c': 2, '330c': 1, '355e': 2}"
