caseid,F_AGECAT,F_SEX,F_EDUCCAT2,F_PARTY_FINAL,F_IDEO,F_INCOME,F_RELIG,F_RACETHNMOD
100637.0,C,A,A,B,D,F,J,E
103379.0,D,B,G,C,A,C,J,E
104368.0,D,B,D,B,C,D,J,E
105124.0,C,B,F,C,A,C,K,E
107023.0,C,A,A,A,B,D,J,B
107668.0,B,A,B,C,C,G,J,E
109143.0,B,A,D,C,A,G,J,E
110041.0,D,B,F,C,A,B,K,E
112613.0,D,A,F,C,C,B,J,E
113412.0,D,A,G,B,C,E,L,E
116617.0,C,B,F,B,C,C,J,E
119121.0,C,A,G,A,B,G,L,E
125421.0,D,A,A,B,C,C,B,E
126211.0,D,B,D,D,D,E,J,E
127160.0,B,A,F,D,D,G,H,D
128558.0,C,A,D,C,A,H,J,E
135184.0,B,B,B,C,D,B,J,E
141442.0,D,B,B,B,A,C,J,E
145447.0,D,A,F,B,C,C,J,E
146434.0,D,A,D,C,C,H,K,E
147121.0,B,A,D,D,C,I,J,E
148162.0,C,B,B,B,D,C,J,E
154948.0,D,A,F,B,B,H,K,E
155606.0,D,B,B,C,A,H,J,E
158846.0,C,B,D,C,A,A,J,E
159828.0,D,A,G,C,D,G,J,E
161130.0,C,A,A,C,A,C,J,E
161820.0,B,A,B,C,C,F,K,E
162028.0,D,A,A,A,B,E,J,B
174032.0,C,B,D,C,D,B,J,E
175192.0,C,B,A,C,D,G,J,E
176214.0,D,A,G,A,C,G,J,E
176709.0,D,B,B,B,A,C,J,E
176940.0,D,A,D,B,C,G,J,E
178470.0,C,A,D,A,A,I,J,B
181690.0,B,B,B,B,C,B,J,E
186444.0,C,A,G,C,C,A,K,E
188516.0,C,A,G,C,A,C,H,E
191063.0,C,A,G,B,C,H,K,E
193408.0,B,B,F,C,A,B,J,E
194718.0,C,A,G,C,A,G,J,E
194860.0,D,A,F,B,D,B,J,E
198848.0,C,B,F,C,A,B,J,E
200312.0,D,B,G,C,A,G,K,D
201153.0,D,A,A,A,C,A,J,B
204536.0,D,A,G,B,A,D,J,E
205459.0,D,A,D,C,A,A,J,E
205490.0,C,A,D,A,C,G,J,B
207502.0,B,A,B,A,B,H,H,B
209250.0,C,A,B,A,B,C,H,B
213541.0,C,A,D,C,D,G,J,E
218837.0,D,A,F,A,E,G,B,E
227117.0,D,A,G,C,A,G,J,E
229457.0,C,B,A,C,A,G,J,E
230587.0,B,B,D,D,C,A,J,E
230613.0,C,A,A,C,A,B,J,E
236005.0,D,A,D,C,D,I,J,E
236237.0,C,A,A,A,C,B,E,E
239268.0,C,A,G,A,B,E,J,E
239382.0,D,A,B,B,C,G,H,D
240597.0,B,A,F,C,A,G,J,E
245684.0,D,A,F,C,D,C,K,E
246537.0,D,A,G,B,C,C,K,E
249540.0,D,B,F,B,D,C,J,E
274171.0,C,B,B,B,D,G,J,E
274822.0,D,B,G,C,A,C,J,E
275824.0,B,B,F,B,C,C,B,E
280823.0,D,B,F,C,A,C,J,E
281929.0,B,A,G,A,C,F,J,B
282561.0,C,B,F,B,C,C,K,E
283820.0,C,B,B,C,C,C,H,E
286082.0,B,A,E,C,C,D,H,E
286168.0,D,B,D,C,A,D,J,E
292740.0,D,B,D,C,A,F,J,E
299327.0,C,A,A,C,A,H,J,E
300234.0,D,A,A,C,D,G,J,E
301126.0,D,B,B,D,A,B,J,E
301613.0,C,A,A,A,E,B,L,E
302362.0,C,A,F,C,E,I,J,E
306151.0,D,A,G,A,A,A,J,B
307317.0,B,B,F,A,B,C,E,E
307718.0,B,B,F,D,D,D,H,A
309533.0,C,B,B,C,A,C,A,E
311119.0,D,B,B,C,A,C,J,E
314113.0,D,A,E,B,A,I,J,E
314294.0,D,A,B,B,C,C,J,E
314546.0,B,B,F,B,A,H,J,E
318188.0,D,B,F,C,A,C,J,E
320909.0,C,B,F,A,C,C,A,E
323087.0,D,B,B,C,D,H,J,E
326974.0,B,A,A,A,A,D,J,B
328024.0,D,B,F,B,D,B,J,E
329545.0,D,A,G,C,C,G,J,E
331946.0,C,B,D,C,A,G,J,E
332823.0,C,A,G,C,A,H,H,E
333476.0,B,B,A,A,A,H,J,B
336522.0,D,B,A,A,B,F,J,E
339573.0,C,A,D,C,A,G,J,C
345438.0,D,B,B,A,B,D,B,E
347425.0,C,A,F,A,E,B,J,C
600689.0,C,B,F,C,A,C,J,E
601754.0,B,B,G,D,C,H,K,C
603607.0,C,A,A,A,B,H,J,B
605512.0,A,A,A,B,A,D,K,E
610638.0,C,B,B,B,C,B,L,D
610897.0,B,B,F,A,B,C,H,E
612280.0,D,A,B,C,A,D,K,E
613070.0,D,B,G,C,C,H,J,E
613259.0,A,B,F,D,C,B,J,B
613898.0,D,A,G,D,C,E,J,E
614506.0,B,B,B,C,D,G,J,E
