caseid,SOCIETY_TRANS_W92,FREECOLL_W92,UNIMMIGCOMM_W92,ECON4_b_W54,F_PARTY_FINAL,FAMSURV2Wc_W50,F_AGECAT,BILLION_W92,ELECT_IMPT3_PRVFR_W92,F_INCOME,INEQ1_W54,GOVPRIORITYb_W54,POLINTOL2_a_W92,GOVPRIORITYd_W54,SATLIFEc_W50,PROG_RNEED_W92,F_RELIG,FAMSURV6_W50,GODMORALIMP_W92,FAMSURV2Mc_W50,WHADVANT_W92,REPRSNTREP_W92,USEXCEPT_W92,ELECT_CONF3_PRVFR_W92,ELECT_CONF3_PRVSUP_W92,F_SEX,GOVPRIORITYf_W54,REPRSNTDEM_W92,ECON1_W54,ECON4_a_W54,F_RACETHNMOD,GOVPRIORITYc_W54,F_EDUCCAT2,RACESURV52MOD_W92,F_IDEO,F_CREGION,CANDEXP_W92,FIN_SIT_W54,FAMSURV1_W50
100260.0,B,D,D,B,C,B,D,C,D,G,A,A,A,C,C,C,H,A,B,B,D,D,B,A,D,B,A,A,A,D,E,D,B,A,D,D,B,C,C
100363.0,C,A,A,A,A,A,B,A,A,B,C,A,D,C,B,A,K,A,B,B,D,B,A,C,D,A,B,B,C,B,E,B,F,D,B,B,B,C,C
100637.0,B,B,B,C,B,B,C,C,D,F,C,A,A,D,B,C,J,D,B,B,C,B,A,A,D,A,C,A,A,D,E,B,A,C,D,C,B,D,C
101224.0,D,D,D,A,C,A,D,B,D,F,C,A,D,B,D,A,J,B,A,A,D,D,B,A,A,B,B,A,B,A,E,B,D,A,A,C,A,C,C
101437.0,D,D,B,A,C,B,C,A,D,A,A,A,B,D,D,A,J,D,A,B,C,C,A,A,D,A,C,A,A,C,E,C,A,A,A,A,B,C,A
101493.0,D,D,D,A,C,B,C,B,D,H,A,A,A,C,C,B,J,D,A,B,C,D,B,A,C,B,C,A,A,C,C,C,G,A,A,D,C,D,B
102198.0,D,D,B,D,C,B,A,C,C,B,C,A,B,B,B,C,J,B,D,B,A,C,A,A,B,A,A,A,B,D,E,C,G,C,A,B,B,D,C
103094.0,A,A,B,A,A,B,B,A,C,D,B,B,C,B,B,B,K,B,B,A,D,C,A,B,C,A,A,C,D,D,E,C,D,D,B,B,C,B,B
103379.0,D,D,D,A,C,A,D,A,D,C,C,A,D,B,D,C,J,D,A,A,C,C,B,A,B,B,B,A,A,A,E,B,G,A,A,C,C,C,C
103519.0,C,B,B,B,B,B,C,A,D,C,C,C,D,B,D,B,K,C,B,B,A,B,C,D,D,B,A,B,B,A,E,A,F,D,C,A,C,C,C
103611.0,C,B,A,D,C,B,D,C,D,D,A,A,A,A,A,A,K,A,B,B,D,B,A,B,D,A,A,B,B,D,E,B,F,D,A,B,B,B,C
103956.0,E,A,A,A,A,B,D,C,C,E,C,C,C,A,B,B,H,C,C,C,B,A,A,D,C,A,A,D,C,A,E,B,B,B,B,A,C,D,A
104210.0,E,C,C,D,D,C,B,A,D,A,C,C,D,A,A,B,H,C,C,C,B,A,C,B,B,A,A,C,C,B,E,A,D,B,E,B,A,B,B
104368.0,A,B,C,D,B,B,D,C,D,D,A,B,B,A,D,A,J,A,B,B,B,C,B,D,D,B,A,B,A,D,E,B,D,C,C,C,B,D,A
104491.0,E,C,C,B,A,A,D,A,D,F,C,B,A,A,B,B,H,C,C,B,B,A,C,C,B,A,A,D,C,B,E,A,G,B,E,D,D,C,A
104689.0,C,C,B,B,A,A,C,C,D,E,A,B,A,A,A,B,J,A,B,B,A,B,A,D,D,A,A,C,B,A,E,B,D,C,C,A,C,D,A
