seed,cand_qids,eval_qids
0,"['332f', '332g', '355a', '331b', '332a', '332c', '332d', '334e', '334f', '332b', '330a', '327a', '334d', '334c', '332e', '334h', '333d', '330b', '327d', '355e']","['334a', '334b', '330c', '333c', '334g']"
1,"['331d', '334h', '327a', '332d', '327b', '355a', '330a', '330b', '331b', '327d', '333c', '330c', '332f', '333b', '334a', '334f', '334e', '334c', '355e', '334g']","['332a', '331a', '334d', '332g', '332e']"
2,"['333a', '327b', '333d', '332c', '334d', '332d', '334g', '334e', '332a', '327d', '327a', '330c', '334h', '331d', '334c', '330a', '331a', '355a', '333b', '330b']","['332e', '331b', '334a', '334b', '332g']"
3,"['332g', '327b', '333a', '331b', '327a', '334e', '332b', '332e', '330b', '332c', '334g', '332d', '334h', '334c', '332f', '331d', '332a', '333d', '334d', '334f']","['355a', '327d', '333c', '330a', '330c']"
4,"['333b', '333a', '332a', '330b', '334e', '331a', '333d', '330a', '355e', '355a', '332c', '332b', '331b', '332e', '334a', '332f', '334b', '333c', '327b', '334h']","['334f', '334g', '330c', '331d', '332g']"
5,"['334f', '333b', '334g', '334e', '332a', '327b', '330c', '331a', '332b', '333c', '330b', '327d', '332e', '332f', '330a', '331d', '355a', '327a', '334b', '334a']","['334d', '331b', '334h', '332c', '332g']"
6,"['327b', '334d', '330a', '334f', '333c', '332g', '334b', '331b', '332f', '332b', '334e', '331a', '333a', '332d', '331d', '332a', '355e', '330b', '333d', '334a']","['334c', '333b', '334h', '355a', '327d']"
7,"['327d', '331b', '333c', '330c', '331d', '332b', '334a', '355e', '330b', '333d', '334d', '332a', '327a', '334c', '334e', '333b', '334b', '332f', '334f', '333a']","['334g', '334h', '332g', '355a', '332c']"
8,"['327b', '330a', '355a', '331d', '333c', '327a', '327d', '331a', '333d', '334e', '333b', '334g', '334a', '331b', '334d', '332b', '334h', '330b', '332e', '334b']","['334c', '332c', '355e', '332f', '332a']"
9,"['331a', '332d', '334d', '355e', '327b', '333a', '327a', '333b', '331b', '332f', '332e', '334h', '355a', '333c', '332g', '334a', '332b', '334c', '333d', '334g']","['334f', '332c', '334e', '331d', '327d']"
