seed,cand_qids,eval_qids
0,"['GOVPRIORITYd_W54', 'FIN_SIT_W54', 'GOVPRIORITYc_W54', 'ELECT_CONF3_PRVFR_W92', 'ELECT_IMPT3_PRVFR_W92', 'SATLIFEc_W50', 'ECON4_a_W54', 'FAMSURV2Wc_W50', 'SOCIETY_TRANS_W92', 'BILLION_W92', 'INEQ1_W54', 'ECON4_b_W54', 'FREECOLL_W92', 'RACESURV52MOD_W92', 'REPRSNTDEM_W92', 'WHADVANT_W92', 'FAMSURV2Mc_W50', 'GOVPRIORITYf_W54', 'CANDEXP_W92', 'FAMSURV6_W50']","['POLINTOL2_a_W92', 'ELECT_CONF3_PRVSUP_W92', 'PROG_RNEED_W92', 'UNIMMIGCOMM_W92', 'ECON1_W54']"
1,"['PROG_RNEED_W92', 'FREECOLL_W92', 'CANDEXP_W92', 'RACESURV52MOD_W92', 'POLINTOL2_a_W92', 'GODMORALIMP_W92', 'FIN_SIT_W54', 'REPRSNTDEM_W92', 'GOVPRIORITYd_W54', 'USEXCEPT_W92', 'GOVPRIORITYc_W54', 'ECON4_b_W54', 'GOVPRIORITYf_W54', 'WHADVANT_W92', 'ECON1_W54', 'FAMSURV2Mc_W50', 'INEQ1_W54', 'ELECT_IMPT3_PRVFR_W92', 'ELECT_CONF3_PRVFR_W92', 'FAMSURV1_W50']","['GOVPRIORITYb_W54', 'FAMSURV2Wc_W50', 'ECON4_a_W54', 'ELECT_CONF3_PRVSUP_W92', 'SATLIFEc_W50']"
2,"['FIN_SIT_W54', 'BILLION_W92', 'FREECOLL_W92', 'WHADVANT_W92', 'FAMSURV1_W50', 'FAMSURV2Wc_W50', 'SATLIFEc_W50', 'ELECT_IMPT3_PRVFR_W92', 'GOVPRIORITYb_W54', 'PROG_RNEED_W92', 'ECON4_b_W54', 'GOVPRIORITYd_W54', 'INEQ1_W54', 'FAMSURV2Mc_W50', 'RACESURV52MOD_W92', 'POLINTOL2_a_W92', 'UNIMMIGCOMM_W92', 'ECON4_a_W54', 'CANDEXP_W92', 'ELECT_CONF3_PRVFR_W92']","['GODMORALIMP_W92', 'REPRSNTDEM_W92', 'SOCIETY_TRANS_W92', 'FAMSURV6_W50', 'ECON1_W54']"
3,"['REPRSNTREP_W92', 'INEQ1_W54', 'RACESURV52MOD_W92', 'POLINTOL2_a_W92', 'ELECT_CONF3_PRVSUP_W92', 'SOCIETY_TRANS_W92', 'GOVPRIORITYc_W54', 'FAMSURV2Wc_W50', 'ELECT_IMPT3_PRVFR_W92', 'ELECT_CONF3_PRVFR_W92', 'GOVPRIORITYf_W54', 'FIN_SIT_W54', 'ECON4_b_W54', 'WHADVANT_W92', 'GOVPRIORITYd_W54', 'REPRSNTDEM_W92', 'CANDEXP_W92', 'UNIMMIGCOMM_W92', 'GOVPRIORITYb_W54', 'ECON4_a_W54']","['SATLIFEc_W50', 'FREECOLL_W92', 'GODMORALIMP_W92', 'BILLION_W92', 'FAMSURV2Mc_W50']"
4,"['FAMSURV1_W50', 'WHADVANT_W92', 'REPRSNTDEM_W92', 'PROG_RNEED_W92', 'USEXCEPT_W92', 'SOCIETY_TRANS_W92', 'ELECT_IMPT3_PRVFR_W92', 'ECON4_a_W54', 'FAMSURV2Mc_W50', 'FAMSURV6_W50', 'POLINTOL2_a_W92', 'FAMSURV2Wc_W50', 'FIN_SIT_W54', 'GOVPRIORITYc_W54', 'CANDEXP_W92', 'GOVPRIORITYd_W54', 'FREECOLL_W92', 'UNIMMIGCOMM_W92', 'ELECT_CONF3_PRVFR_W92', 'GOVPRIORITYb_W54']","['GOVPRIORITYf_W54', 'SATLIFEc_W50', 'ECON4_b_W54', 'REPRSNTREP_W92', 'ELECT_CONF3_PRVSUP_W92']"
5,"['SOCIETY_TRANS_W92', 'GOVPRIORITYb_W54', 'ELECT_CONF3_PRVSUP_W92', 'REPRSNTREP_W92', 'ELECT_CONF3_PRVFR_W92', 'ECON4_b_W54', 'ELECT_IMPT3_PRVFR_W92', 'USEXCEPT_W92', 'SATLIFEc_W50', 'FAMSURV2Mc_W50', 'FAMSURV1_W50', 'INEQ1_W54', 'BILLION_W92', 'ECON1_W54', 'FAMSURV2Wc_W50', 'GODMORALIMP_W92', 'GOVPRIORITYf_W54', 'WHADVANT_W92', 'FAMSURV6_W50', 'UNIMMIGCOMM_W92']","['CANDEXP_W92', 'GOVPRIORITYd_W54', 'ECON4_a_W54', 'REPRSNTDEM_W92', 'GOVPRIORITYc_W54']"
6,"['ELECT_CONF3_PRVSUP_W92', 'REPRSNTDEM_W92', 'GODMORALIMP_W92', 'CANDEXP_W92', 'USEXCEPT_W92', 'FAMSURV1_W50', 'SATLIFEc_W50', 'WHADVANT_W92', 'REPRSNTREP_W92', 'GOVPRIORITYf_W54', 'UNIMMIGCOMM_W92', 'FREECOLL_W92', 'BILLION_W92', 'GOVPRIORITYb_W54', 'RACESURV52MOD_W92', 'ELECT_IMPT3_PRVFR_W92', 'ECON4_b_W54', 'PROG_RNEED_W92', 'GOVPRIORITYc_W54', 'FAMSURV6_W50']","['ELECT_CONF3_PRVFR_W92', 'SOCIETY_TRANS_W92', 'ECON4_a_W54', 'FIN_SIT_W54', 'FAMSURV2Mc_W50']"
7,"['BILLION_W92', 'SOCIETY_TRANS_W92', 'CANDEXP_W92', 'ECON1_W54', 'POLINTOL2_a_W92', 'FAMSURV2Wc_W50', 'GOVPRIORITYf_W54', 'FAMSURV6_W50', 'RACESURV52MOD_W92', 'GOVPRIORITYc_W54', 'USEXCEPT_W92', 'SATLIFEc_W50', 'ELECT_CONF3_PRVFR_W92', 'FREECOLL_W92', 'INEQ1_W54', 'ELECT_CONF3_PRVSUP_W92', 'REPRSNTREP_W92', 'FAMSURV1_W50', 'GODMORALIMP_W92', 'UNIMMIGCOMM_W92']","['REPRSNTDEM_W92', 'WHADVANT_W92', 'GOVPRIORITYd_W54', 'PROG_RNEED_W92', 'ECON4_b_W54']"
8,"['FIN_SIT_W54', 'GOVPRIORITYf_W54', 'POLINTOL2_a_W92', 'ECON4_b_W54', 'REPRSNTDEM_W92', 'BILLION_W92', 'FAMSURV2Mc_W50', 'GODMORALIMP_W92', 'PROG_RNEED_W92', 'USEXCEPT_W92', 'RACESURV52MOD_W92', 'CANDEXP_W92', 'ECON1_W54', 'GOVPRIORITYc_W54', 'FREECOLL_W92', 'FAMSURV2Wc_W50', 'ELECT_CONF3_PRVFR_W92', 'GOVPRIORITYb_W54', 'ELECT_IMPT3_PRVFR_W92', 'SATLIFEc_W50']","['WHADVANT_W92', 'FAMSURV6_W50', 'ELECT_CONF3_PRVSUP_W92', 'GOVPRIORITYd_W54', 'ECON4_a_W54']"
9,"['SOCIETY_TRANS_W92', 'ELECT_IMPT3_PRVFR_W92', 'GOVPRIORITYd_W54', 'UNIMMIGCOMM_W92', 'FIN_SIT_W54', 'FREECOLL_W92', 'FAMSURV2Mc_W50', 'ECON1_W54', 'ECON4_b_W54', 'GOVPRIORITYb_W54', 'CANDEXP_W92', 'REPRSNTDEM_W92', 'BILLION_W92', 'INEQ1_W54', 'POLINTOL2_a_W92', 'REPRSNTREP_W92', 'USEXCEPT_W92', 'GOVPRIORITYc_W54', 'RACESURV52MOD_W92', 'GODMORALIMP_W92']","['SATLIFEc_W50', 'FAMSURV6_W50', 'ELECT_CONF3_PRVFR_W92', 'WHADVANT_W92', 'FAMSURV1_W50']"
