caseid,BLOCK0QID13_W1,BLOCK0QID12_W1,BLOCK0QID14_W1,BLOCK0QID20_W1,BLOCK0QID22_W1,BLOCK0QID21_W1,BLOCK0QID18_W1,BLOCK0QID15_W1
10000003,C,B,F,A,B,C,A,A
10000009,B,B,C,C,C,A,A,A
10000010,C,A,E,C,C,C,K,E
10000011,A,A,E,B,D,A,J,B
10000014,A,A,B,B,D,E,J,D
10000021,A,B,C,B,D,C,K,D
10000029,B,B,B,B,C,C,A,A
10000040,D,A,F,D,E,E,K,E
10000041,B,B,E,C,C,E,L,B
10000042,C,B,F,A,B,E,K,A
10000044,B,A,C,C,D,D,B,A
10000046,C,B,E,A,C,C,A,A
10000051,B,B,C,C,E,D,K,A
10000052,A,B,B,B,E,C,J,B
10000056,C,B,D,C,C,C,B,A
10000060,D,A,D,A,B,C,A,A
10000062,A,A,C,C,C,D,L,E
10000066,C,A,F,B,D,C,B,B
10000069,A,B,D,C,C,A,K,E
10000070,D,B,E,C,C,A,G,C
10000074,D,B,D,B,D,C,B,A
10000075,A,B,E,C,E,C,J,A
10000078,B,A,E,C,B,B,L,A
10000080,D,B,D,C,C,C,K,B
10000086,C,B,F,C,E,E,K,B
10000088,A,A,F,A,A,E,A,A
10000089,C,A,E,B,D,C,A,A
10000090,B,B,C,B,C,D,A,B
10000091,B,B,F,D,C,E,A,B
10000094,D,A,E,C,A,A,A,A
10000101,C,B,E,A,B,E,K,A
10000103,A,B,E,A,B,E,B,C
10000107,B,A,E,C,C,E,B,A
10000109,A,B,B,C,E,D,A,B
10000111,C,B,F,D,C,E,B,C
10000114,C,A,C,B,D,B,J,B
10000116,D,A,E,A,A,E,A,A
10000117,C,A,A,C,C,B,L,B
10000122,D,B,E,B,E,E,E,A
10000123,B,A,E,C,C,E,J,A
10000126,B,A,F,B,D,E,B,A
10000127,A,B,E,A,B,C,A,A
10000129,B,A,C,B,D,B,J,E
10000133,B,B,F,C,C,E,B,E
10000134,D,A,C,B,D,A,I,A
10000139,C,B,E,B,C,C,A,A
