caseid,BLOCK0QID11_W1,BLOCK0QID12_W1,BLOCK0QID13_W1,BLOCK0QID14_W1,BLOCK0QID15_W1,BLOCK0QID18_W1,BLOCK0QID20_W1,BLOCK0QID21_W1,BLOCK0QID22_W1,BLOCK30QID9_1_W1,BLOCK30QID9_2_W1,BLOCK30QID9_3_W1,BLOCK30QID9_4_W1,BLOCK30QID9_5_W1,BLOCK30QID9_6_W1,BLOCK30QID9_7_W1,BLOCK30QID9_8_W1,BLOCK30QID9_9_W1,BLOCK30QID9_10_W1,BLOCK30QID9_11_W1,BLOCK30QID9_12_W1,BLOCK30QID9_13_W1,BLOCK30QID9_14_W1,BLOCK30QID9_15_W1,BLOCK30QID9_16_W1,BLOCK30QID9_17_W1,BLOCK30QID9_18_W1,BLOCK30QID9_19_W1,BLOCK30QID9_20_W1,BLOCK30QID9_21_W1,BLOCK30QID9_22_W1,BLOCK30QID9_23_W1,BLOCK30QID9_24_W1,BLOCK30QID9_25_W1,BLOCK30QID9_26_W1,BLOCK30QID9_27_W1,BLOCK30QID9_28_W1,BLOCK30QID9_29_W1,BLOCK30QID9_30_W1,BLOCK30QID9_31_W1,BLOCK30QID9_32_W1,BLOCK30QID9_33_W1,BLOCK30QID9_34_W1,BLOCK30QID9_35_W1,BLOCK30QID9_36_W1,BLOCK30QID9_37_W1,BLOCK30QID9_38_W1,BLOCK30QID9_39_W1,BLOCK30QID9_40_W1
10000001,C,A,A,C,A,A,A,E,B,A,A,B,B,A,B,B,A,B,B,B,B,B,A,B,A,A,B,B,B,A,B,A,A,A,B,B,B,B,A,B,B,A,B,B,B,B,A,B,A
10000002,B,B,C,E,A,L,B,E,D,B,B,A,B,B,B,A,A,B,B,B,B,B,B,B,A,A,B,B,B,A,B,A,B,B,B,B,B,B,A,B,B,B,B,A,A,A,A,B,B
10000003,C,B,C,F,A,A,A,C,B,A,A,B,A,A,A,A,B,B,A,B,A,B,B,A,A,B,A,A,B,A,B,A,A,B,A,B,A,B,A,A,B,A,B,A,A,B,A,A,A
10000004,D,B,B,D,A,K,C,C,D,B,A,B,B,A,B,B,A,A,B,A,A,B,B,B,A,B,A,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,A,B,A,B,B,B,A
10000005,B,B,C,B,B,K,A,C,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,A,B,B,A,B,B,B,B,B,A,B,B
10000006,C,A,A,E,C,L,B,D,D,A,A,B,A,B,B,B,A,B,B,B,B,B,A,A,A,A,B,A,B,B,B,B,A,B,B,A,B,B,B,A,A,A,A,A,B,B,A,B,B
10000007,D,A,A,C,D,G,C,A,C,A,B,B,A,A,B,A,A,B,A,A,B,A,B,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,A,B,B,B,B
10000008,B,B,B,E,E,L,C,A,E,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,A,B,A,A
10000009,C,B,B,C,A,A,C,A,C,A,A,A,B,B,B,B,B,A,A,A,B,A,B,A,B,B,A,A,A,A,B,A,A,A,A,A,B,A,B,A,B,A,B,B,B,A,B,A,B
10000010,C,A,C,E,E,K,C,C,C,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,A,B,A,A,A,B,B,B,B,A,A,A,B,A,A,A
10000011,C,A,A,E,B,J,B,A,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,A,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,B
10000012,D,A,B,C,A,L,C,C,C,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,A,A,B,B,B,B,A,B,A,A,A,B,B,B,B,A,B,B
10000013,D,A,C,B,A,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,B,A,B,A,B,A,B,A,A,A,A,B,A,A,B,A,B,A,A,A,B,B,A,B,A,B,B,A,A
10000014,C,A,A,B,D,J,B,E,D,A,A,A,A,B,A,B,B,A,B,A,A,B,B,B,B,B,B,A,B,A,B,A,A,B,B,B,A,B,B,A,A,B,A,A,B,B,A,B,A
10000015,C,A,D,C,A,A,A,C,A,A,B,B,B,A,A,B,A,B,A,B,B,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,B,B,B,A,B,B,B,B,B,B,A,A,A
10000016,D,B,A,E,B,L,C,B,E,B,B,A,B,A,A,B,B,B,A,B,B,B,B,A,A,A,B,B,B,B,B,A,B,A,B,B,A,A,B,A,B,B,B,A,B,B,B,B,A
10000017,D,A,C,F,E,J,B,E,C,B,A,B,B,B,B,A,B,A,A,A,A,B,B,B,A,B,A,A,A,B,B,A,A,B,B,B,B,A,B,B,B,B,A,A,B,A,A,B,B
10000018,D,A,A,B,D,B,B,B,D,B,B,A,A,A,B,A,B,B,B,A,B,B,A,B,B,A,B,A,A,B,A,B,B,B,A,B,B,B,A,A,A,A,B,A,A,A,B,B,B
10000019,A,A,D,F,A,E,B,E,D,A,B,A,B,B,B,A,A,A,A,B,B,B,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A
10000020,A,B,D,F,A,B,A,C,B,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,B,A,B,B,B,B,A,A,A,B,B,A,A,B,A,B,B,B,A,A,A,A,A,B,A
10000021,C,B,A,C,D,K,B,C,D,B,A,A,B,A,A,A,A,A,A,A,A,B,A,A,B,B,B,A,A,A,A,B,A,B,B,B,A,A,A,A,A,B,A,B,A,B,A,A,A
10000022,A,A,B,F,A,A,A,E,B,A,A,B,A,B,A,B,B,B,A,A,A,B,A,B,B,A,B,A,B,B,B,B,A,B,A,B,A,B,B,A,B,B,B,B,B,B,B,A,A
10000023,D,B,B,F,D,B,B,B,E,A,B,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,B,B,A,B,B,B,A,A,A,B,B,A,B,B,B,B,A,A,A
10000024,C,B,D,E,A,G,B,E,E,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,B,A,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B
10000025,D,A,B,C,C,I,D,C,E,A,B,B,A,A,B,B,B,B,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,A,B,A,B,B,B,A,B
10000026,D,A,C,D,D,B,A,D,B,A,A,A,A,B,B,A,B,B,A,B,A,A,B,A,A,A,A,B,B,B,B,A,A,A,A,A,A,A,B,A,B,B,A,B,B,A,A,B,A
10000027,D,A,C,F,A,A,C,E,C,A,B,B,B,B,B,B,B,A,B,B,B,A,B,B,A,B,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,A,B,A,B,A,A,B,B
10000028,A,B,B,F,A,L,C,E,C,A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,A,A,B,B,A,B,A,B,B,A,B,A,A,A,A,B,A,B,B,B,B,B,A
10000029,C,B,B,B,A,A,B,C,C,A,A,B,B,A,B,B,B,B,A,B,B,A,B,B,A,B,B,B,A,A,B,A,B,A,B,A,A,B,A,B,B,B,B,B,B,A,B,A,A
10000030,A,A,B,E,A,B,C,E,C,B,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,B,A,B,A,B,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A
10000031,B,A,C,D,A,A,D,D,B,A,A,B,B,A,B,B,B,B,A,A,A,B,B,B,B,A,A,A,B,A,B,A,B,B,B,B,A,A,A,B,A,B,A,B,B,B,A,A,B
10000032,B,B,C,E,A,J,B,D,E,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B
10000033,D,B,B,E,C,J,B,D,E,B,B,A,B,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,A,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,A,A,B
10000034,C,B,C,D,B,A,C,C,D,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,B,B,A,A,A,A,B,A,B,A,A,A,B,A,A,A,A,A,A,B,B,A,A,A
10000035,D,A,A,B,D,B,B,C,D,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A
10000036,A,A,A,B,B,F,A,C,B,A,B,A,B,A,A,B,A,B,A,A,A,A,B,A,A,A,A,B,A,B,B,B,B,A,B,B,A,A,A,A,B,A,B,A,A,A,B,A,B
10000037,C,B,B,C,A,A,B,A,E,B,A,A,B,B,B,B,A,A,A,B,A,B,A,B,A,A,B,A,A,A,A,B,B,A,A,A,B,A,B,A,A,B,B,B,A,B,A,A,A
10000038,D,A,C,D,A,J,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
10000039,D,B,A,C,A,J,C,C,E,B,B,B,A,B,B,B,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B,A,A,A,B,A,B,B,B,A,A,B,B
10000040,C,A,D,F,E,K,D,E,E,B,A,A,B,B,B,B,A,A,A,A,A,B,A,A,A,B,A,B,B,A,A,A,B,A,B,B,B,B,B,B,A,A,A,A,B,B,B,A,A
10000041,C,B,B,E,B,L,C,E,C,B,B,B,A,A,A,B,A,A,B,B,B,B,B,B,A,B,B,B,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B
10000042,C,B,C,F,A,K,A,E,B,B,B,B,A,A,B,B,B,A,A,A,A,A,B,A,A,A,A,B,B,A,A,B,A,B,A,A,B,A,A,A,A,A,B,A,B,A,B,A,A
10000043,D,A,A,E,A,B,A,D,A,A,B,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
10000044,C,A,B,C,A,B,C,D,D,A,A,A,B,A,B,A,B,A,B,B,B,B,A,A,A,A,A,B,B,A,A,B,A,B,B,A,A,B,B,A,B,B,A,A,A,A,A,B,A
10000045,B,B,A,E,A,L,A,C,C,A,A,B,A,B,B,B,B,B,A,B,A,A,A,B,A,A,B,B,B,A,A,B,B,A,B,B,A,B,A,B,B,A,B,A,B,A,A,A,A
10000046,C,B,C,E,A,A,A,C,C,B,A,B,B,B,B,A,B,A,B,B,B,A,A,B,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,B,A
10000047,B,A,B,D,A,J,B,A,E,B,B,A,A,A,B,B,A,B,B,B,B,A,A,B,B,B,A,A,A,A,B,B,B,B,A,A,A,B,A,A,A,A,A,B,B,A,B,A,A
10000048,E,A,B,D,C,L,C,D,C,B,A,A,B,A,A,B,A,B,A,A,A,A,B,B,A,A,B,A,B,A,A,B,A,B,A,A,A,A,A,A,B,B,B,A,B,B,B,A,B
10000049,D,B,A,B,D,B,C,C,C,B,A,B,A,A,A,B,A,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,B,A,B,B,A,B,B,B,B,A
10000050,B,B,A,E,A,A,A,E,A,A,A,B,A,B,A,A,A,A,B,A,B,B,B,A,B,B,A,A,A,B,A,B,A,A,B,A,A,A,A,B,A,A,B,B,B,B,A,A,A
