seed,cand_qids,eval_qids
0,"['BLOCK30QID9_10_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_35_W1', 'BLOCK30QID9_9_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_2_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_14_W1', 'BLOCK30QID9_13_W1', 'BLOCK30QID9_37_W1', 'BLOCK30QID9_18_W1', 'BLOCK30QID9_27_W1', 'BLOCK30QID9_7_W1', 'BLOCK30QID9_19_W1', 'BLOCK30QID9_3_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_17_W1', 'BLOCK30QID9_26_W1', 'BLOCK30QID9_4_W1']","['BLOCK30QID9_33_W1', 'BLOCK30QID9_30_W1', 'BLOCK30QID9_15_W1', 'BLOCK30QID9_22_W1', 'BLOCK30QID9_40_W1']"
1,"['BLOCK30QID9_34_W1', 'BLOCK30QID9_31_W1', 'BLOCK30QID9_18_W1', 'BLOCK30QID9_2_W1', 'BLOCK30QID9_29_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_32_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_38_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_10_W1', 'BLOCK30QID9_5_W1', 'BLOCK30QID9_39_W1', 'BLOCK30QID9_30_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_7_W1', 'BLOCK30QID9_8_W1', 'BLOCK30QID9_40_W1']","['BLOCK30QID9_36_W1', 'BLOCK30QID9_15_W1', 'BLOCK30QID9_23_W1', 'BLOCK30QID9_3_W1', 'BLOCK30QID9_26_W1']"
2,"['BLOCK30QID9_27_W1', 'BLOCK30QID9_19_W1', 'BLOCK30QID9_20_W1', 'BLOCK30QID9_35_W1', 'BLOCK30QID9_37_W1', 'BLOCK30QID9_23_W1', 'BLOCK30QID9_10_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_26_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_15_W1', 'BLOCK30QID9_31_W1', 'BLOCK30QID9_22_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_7_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_5_W1', 'BLOCK30QID9_32_W1']","['BLOCK30QID9_12_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_33_W1', 'BLOCK30QID9_30_W1', 'BLOCK30QID9_36_W1']"
3,"['BLOCK30QID9_2_W1', 'BLOCK30QID9_29_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_15_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_36_W1', 'BLOCK30QID9_18_W1', 'BLOCK30QID9_39_W1', 'BLOCK30QID9_22_W1', 'BLOCK30QID9_9_W1', 'BLOCK30QID9_8_W1', 'BLOCK30QID9_31_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_23_W1', 'BLOCK30QID9_13_W1', 'BLOCK30QID9_27_W1', 'BLOCK30QID9_38_W1', 'BLOCK30QID9_11_W1', 'BLOCK30QID9_14_W1']","['BLOCK30QID9_10_W1', 'BLOCK30QID9_19_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_33_W1', 'BLOCK30QID9_32_W1']"
4,"['BLOCK30QID9_22_W1', 'BLOCK30QID9_20_W1', 'BLOCK30QID9_34_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_27_W1', 'BLOCK30QID9_13_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_26_W1', 'BLOCK30QID9_14_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_36_W1', 'BLOCK30QID9_10_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_17_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_30_W1', 'BLOCK30QID9_12_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_23_W1']","['BLOCK30QID9_39_W1', 'BLOCK30QID9_40_W1', 'BLOCK30QID9_11_W1', 'BLOCK30QID9_35_W1', 'BLOCK30QID9_38_W1']"
5,"['BLOCK30QID9_14_W1', 'BLOCK30QID9_5_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_35_W1', 'BLOCK30QID9_7_W1', 'BLOCK30QID9_15_W1', 'BLOCK30QID9_20_W1', 'BLOCK30QID9_10_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_17_W1', 'BLOCK30QID9_29_W1', 'BLOCK30QID9_12_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_37_W1', 'BLOCK30QID9_8_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_18_W1', 'BLOCK30QID9_30_W1', 'BLOCK30QID9_33_W1']","['BLOCK30QID9_26_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_36_W1', 'BLOCK30QID9_38_W1']"
6,"['BLOCK30QID9_6_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_35_W1', 'BLOCK30QID9_14_W1', 'BLOCK30QID9_27_W1', 'BLOCK30QID9_19_W1', 'BLOCK30QID9_36_W1', 'BLOCK30QID9_9_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_10_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_17_W1', 'BLOCK30QID9_20_W1', 'BLOCK30QID9_32_W1', 'BLOCK30QID9_37_W1', 'BLOCK30QID9_34_W1', 'BLOCK30QID9_8_W1', 'BLOCK30QID9_22_W1', 'BLOCK30QID9_2_W1', 'BLOCK30QID9_33_W1']","['BLOCK30QID9_7_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_11_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_38_W1']"
7,"['BLOCK30QID9_26_W1', 'BLOCK30QID9_39_W1', 'BLOCK30QID9_18_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_22_W1', 'BLOCK30QID9_13_W1', 'BLOCK30QID9_33_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_17_W1', 'BLOCK30QID9_9_W1', 'BLOCK30QID9_11_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_20_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_5_W1', 'BLOCK30QID9_19_W1', 'BLOCK30QID9_38_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_12_W1']","['BLOCK30QID9_40_W1', 'BLOCK30QID9_31_W1', 'BLOCK30QID9_3_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_34_W1']"
8,"['BLOCK30QID9_19_W1', 'BLOCK30QID9_37_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_34_W1', 'BLOCK30QID9_39_W1', 'BLOCK30QID9_6_W1', 'BLOCK30QID9_26_W1', 'BLOCK30QID9_17_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_14_W1', 'BLOCK30QID9_13_W1', 'BLOCK30QID9_32_W1', 'BLOCK30QID9_33_W1', 'BLOCK30QID9_9_W1', 'BLOCK30QID9_11_W1', 'BLOCK30QID9_2_W1', 'BLOCK30QID9_31_W1', 'BLOCK30QID9_24_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_30_W1']","['BLOCK30QID9_7_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_8_W1', 'BLOCK30QID9_36_W1', 'BLOCK30QID9_29_W1']"
9,"['BLOCK30QID9_9_W1', 'BLOCK30QID9_2_W1', 'BLOCK30QID9_5_W1', 'BLOCK30QID9_8_W1', 'BLOCK30QID9_23_W1', 'BLOCK30QID9_20_W1', 'BLOCK30QID9_18_W1', 'BLOCK30QID9_3_W1', 'BLOCK30QID9_22_W1', 'BLOCK30QID9_1_W1', 'BLOCK30QID9_4_W1', 'BLOCK30QID9_31_W1', 'BLOCK30QID9_16_W1', 'BLOCK30QID9_25_W1', 'BLOCK30QID9_12_W1', 'BLOCK30QID9_33_W1', 'BLOCK30QID9_39_W1', 'BLOCK30QID9_7_W1', 'BLOCK30QID9_21_W1', 'BLOCK30QID9_40_W1']","['BLOCK30QID9_14_W1', 'BLOCK30QID9_36_W1', 'BLOCK30QID9_28_W1', 'BLOCK30QID9_26_W1', 'BLOCK30QID9_37_W1']"
