,caseid,year__wmode_match,pid3__wmode_match,300_1__wmode_match,300_2__wmode_match,300_3__wmode_match,300_4__wmode_match,302__wmode_match,303__wmode_match,305_1__wmode_match,305_2__wmode_match,305_3__wmode_match,305_4__wmode_match,305_5__wmode_match,305_6__wmode_match,305_7__wmode_match,305_9__wmode_match,305_10__wmode_match,305_11__wmode_match,305_12__wmode_match,305_13__wmode_match,307__wmode_match,309e__wmode_match,309dx_1__wmode_match,309dx_2__wmode_match,309dx_3__wmode_match,309dx_4__wmode_match,309dx_5__wmode_match,309dx_6__wmode_match,309dx_7__wmode_match,309dx_8__wmode_match,310a__wmode_match,310b__wmode_match,320a__wmode_match,320b__wmode_match,320c__wmode_match,327a__wmode_match,327b__wmode_match,327d__wmode_match,330a__wmode_match,330b__wmode_match,330c__wmode_match,331a__wmode_match,331b__wmode_match,331d__wmode_match,332a__wmode_match,332b__wmode_match,332c__wmode_match,332d__wmode_match,332e__wmode_match,332f__wmode_match,332g__wmode_match,333a__wmode_match,333b__wmode_match,333c__wmode_match,333d__wmode_match,334a__wmode_match,334b__wmode_match,334c__wmode_match,334d__wmode_match,334e__wmode_match,334f__wmode_match,334g__wmode_match,334h__wmode_match,355a__wmode_match,355e__wmode_match,363__wmode_match,overall_wmode_match_mean
0,1249937987,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,0.803030303030303
1,1244727923,True,True,True,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,0.8153846153846154
2,1242475831,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,0.7121212121212122
3,1245012269,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,,0.6923076923076923
4,1241022359,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,0.5757575757575758
5,1239356641,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,0.6666666666666666
6,1236207023,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.8181818181818182
7,1244526205,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,0.7424242424242424
8,1232663321,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,0.7424242424242424
9,1245162103,True,True,True,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True,True,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,0.6515151515151515
